focus,state,year,result,male,female
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","New York",2000,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","New York",2001,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","New York",2002,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","New York",2003,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","New York",2004,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","New York",2005,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","New York",2006,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","New York",2007,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","New York",2008,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","North Carolina",1998,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","North Carolina",1999,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","North Carolina",2000,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","North Carolina",2001,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","North Carolina",2002,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","North Carolina",2003,6.5,1.2,3.8
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","North Carolina",2004,7.2,1.2,4.2
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","North Carolina",2005,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","North Carolina",2006,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","North Carolina",2007,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","North Carolina",2008,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","North Dakota",1998,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","North Dakota",1999,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","North Dakota",2000,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","North Dakota",2001,12.4,1.6,7.1
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","North Dakota",2002,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","North Dakota",2003,10.2,0.3,5.3
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","North Dakota",2004,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","North Dakota",2005,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","North Dakota",2006,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","North Dakota",2007,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","North Dakota",2008,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Ohio",1998,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Ohio",1999,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Ohio",2000,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Ohio",2001,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Ohio",2002,10.0,3.9,6.8
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Ohio",2003,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Ohio",2004,5.5,0.3,2.8
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Ohio",2005,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Ohio",2006,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Ohio",2007,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Ohio",2008,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Oklahoma",1998,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Oklahoma",1999,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Oklahoma",2000,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Oklahoma",2001,10.6,0.6,5.5
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Oklahoma",2002,12.2,0.5,6.2
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Oklahoma",2003,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Oklahoma",2004,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Oklahoma",2005,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Oklahoma",2006,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Oklahoma",2007,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Oklahoma",2008,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Oregon",1998,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Oregon",1999,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Oregon",2000,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Oregon",2001,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Oregon",2002,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Oregon",2003,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Oregon",2004,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Oregon",2005,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Oregon",2006,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Oregon",2007,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Oregon",2008,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Pennsylvania",1998,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Pennsylvania",1999,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Pennsylvania",2000,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Pennsylvania",2001,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Pennsylvania",2002,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Pennsylvania",2003,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Pennsylvania",2004,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Pennsylvania",2005,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Pennsylvania",2006,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Pennsylvania",2007,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Pennsylvania",2008,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Rhode Island",1998,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Rhode Island",1999,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Rhode Island",2000,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Rhode Island",2001,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Rhode Island",2002,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Rhode Island",2003,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Rhode Island",2004,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Rhode Island",2005,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Rhode Island",2006,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Rhode Island",2007,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Rhode Island",2008,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","South Carolina",1998,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","South Carolina",1999,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","South Carolina",2000,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","South Carolina",2001,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","South Carolina",2002,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","South Carolina",2003,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","South Carolina",2004,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","South Carolina",2005,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","South Carolina",2006,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","South Carolina",2007,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","South Carolina",2008,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","South Dakota",1998,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","South Dakota",1999,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","South Dakota",2000,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","South Dakota",2001,12.1,1.1,6.6
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","South Dakota",2002,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","South Dakota",2003,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","South Dakota",2004,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","South Dakota",2005,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","South Dakota",2006,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","South Dakota",2007,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","South Dakota",2008,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Tennessee",1998,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Tennessee",1999,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Tennessee",2000,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Tennessee",2001,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Tennessee",2002,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Tennessee",2003,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Tennessee",2004,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Tennessee",2005,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Tennessee",2006,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Tennessee",2007,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Tennessee",2008,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Texas",1998,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Texas",1999,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Texas",2000,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Texas",2001,12.9,3.9,8.3
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Texas",2002,8.9,0.3,4.6
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Texas",2003,7.9,0.1,4.0
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Texas",2004,7.4,0.5,4.0
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Texas",2005,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Texas",2006,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Texas",2007,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Texas",2008,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Utah",1998,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Utah",1999,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Utah",2000,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Utah",2001,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Utah",2002,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Utah",2003,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Utah",2004,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Utah",2005,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Utah",2006,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Utah",2007,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Utah",2008,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Vermont",1998,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Vermont",1999,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Vermont",2000,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Vermont",2001,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Vermont",2002,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Vermont",2003,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Vermont",2004,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Vermont",2005,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Vermont",2006,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Vermont",2007,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Vermont",2008,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Virginia",1998,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Virginia",1999,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Virginia",2000,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Virginia",2001,8.7,3.2,5.9
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Virginia",2002,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Virginia",2003,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Virginia",2004,6.7,0.1,3.3
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Virginia",2005,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Virginia",2006,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Virginia",2007,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Virginia",2008,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Washington",1998,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Washington",1999,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Washington",2000,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Washington",2001,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Washington",2002,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Washington",2003,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Washington",2004,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Washington",2005,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Washington",2006,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Washington",2007,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Washington",2008,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","West Virginia",1998,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","West Virginia",1999,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","West Virginia",2000,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","West Virginia",2001,18.8,2.0,10.1
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","West Virginia",2002,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","West Virginia",2003,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","West Virginia",2004,17.0,0.3,8.5
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","West Virginia",2005,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","West Virginia",2006,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","West Virginia",2007,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","West Virginia",2008,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Wisconsin",1998,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Wisconsin",1999,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Wisconsin",2000,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Wisconsin",2001,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Wisconsin",2002,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Wisconsin",2003,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Wisconsin",2004,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Wisconsin",2005,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Wisconsin",2006,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Wisconsin",2007,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Wisconsin",2008,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Wyoming",1998,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Wyoming",1999,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Wyoming",2000,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Wyoming",2001,17.3,1.8,9.6
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Wyoming",2002,16.5,0.9,8.8
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Wyoming",2003,14.9,0.4,7.8
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Wyoming",2004,18.2,1.0,9.8
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Wyoming",2005,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Wyoming",2006,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Wyoming",2007,,,
"27-1b Spit tobacco use - Adults (age adjusted, aged 18 years and over)","Wyoming",2008,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Alabama",1998,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Alabama",1999,50.6,35.9,43.3
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Alabama",2000,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Alabama",2001,34.9,26.1,30.5
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Alabama",2002,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Alabama",2003,34.7,28.3,31.5
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Alabama",2004,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Alabama",2005,40.8,22.0,30.8
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Alabama",2006,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Alabama",2007,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Alabama",2008,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Alaska",1998,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Alaska",1999,39.4,38.5,39.4
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Alaska",2000,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Alaska",2001,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Alaska",2002,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Alaska",2003,26.6,23.1,24.8
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Alaska",2004,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Alaska",2005,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Alaska",2006,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Alaska",2007,25%,23%,24%
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Alaska",2008,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Arizona",1998,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Arizona",1999,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Arizona",2000,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Arizona",2001,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Arizona",2002,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Arizona",2003,28.3,23.0,25.6
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Arizona",2004,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Arizona",2005,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Arizona",2006,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Arizona",2007,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Arizona",2008,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Arkansas",1998,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Arkansas",1999,48.7,39.1,43.9
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Arkansas",2000,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Arkansas",2001,49.0,33.5,41.4
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Arkansas",2002,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Arkansas",2003,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Arkansas",2004,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Arkansas",2005,36.0,31.6,33.8
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Arkansas",2006,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Arkansas",2007,34%,23%,28%
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Arkansas",2008,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","California",1998,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","California",1999,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","California",2000,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","California",2001,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","California",2002,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","California",2003,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","California",2004,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","California",2005,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","California",2006,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","California",2007,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","California",2008,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Colorado",1998,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Colorado",1999,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Colorado",2000,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Colorado",2001,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Colorado",2002,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Colorado",2003,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Colorado",2004,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Colorado",2005,31.5,20.7,26.1
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Colorado",2006,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Colorado",2007,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Colorado",2008,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Connecticut",1998,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Connecticut",1999,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Connecticut",2000,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Connecticut",2001,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Connecticut",2002,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Connecticut",2003,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Connecticut",2004,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Connecticut",2005,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Connecticut",2006,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Connecticut",2007,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Connecticut",2008,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Delaware",1998,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Delaware",1999,39.3,34.6,37.0
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Delaware",2000,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Delaware",2001,32.4,25.6,29.0
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Delaware",2002,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Delaware",2003,26.1,26.8,26.6
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Delaware",2004,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Delaware",2005,26.2,24.3,25.2
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Delaware",2006,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Delaware",2007,27%,22%,25%
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","Delaware",2008,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","District of Columbia",1998,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","District of Columbia",1999,26.0,21.2,23.3
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","District of Columbia",2000,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","District of Columbia",2001,,,
"27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12)","District of Columbia",2002,,,
