Focus area: 27-Tobacco Use - 03-18-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Objective                                        ,1998 footnote,1998 data,raw   data,se   data,1999 footnote,1999 data,raw   data,se   data,2000 footnote,2000 data,raw   data,se   data,2001 footnote,2001 data,raw   data,se   data,2002 footnote,2002 data,raw   data,se   data,2003 footnote,2003 data,raw   data,se   data,2004 footnote,2004 data,raw   data,se   data,2005 footnote,2005 data,raw   data,se   data,2006 footnote,2006 data,raw   data,se   data,2007 footnote,2007 data,raw   data,se   data,2008 data,2008 raw value,2008 se
                    Persons without diabetes,,DNA,.,.,,---,.,.,,---,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.
                    Persons aged 18 to 24 years (not age adjusted),,DNA,.,.,,---,.,.,,---,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.
                    Persons aged 25 to 44 years (not age adjusted),,DNA,.,.,,---,.,.,,---,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.
                    Persons aged 45 to 64 years (not age adjusted),,DNA,.,.,,---,.,.,,---,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.
                    Persons aged 65 years and over (not age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                    adjusted),,DNA,.,.,,---,.,.,,---,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.
              STATE:Wyoming,,DNA,.,.,,---,.,.,,---,.,.,1,10%,9.6,0.7,1,9%,8.8,0.6,1,8%,7.8,0.5,1,10%,9.8,0.6,,---,.,.,,---,.,.,,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNA,.,.,,---,.,.,,---,.,.,1,DSU,18.3,7.4,1,DSU,5.3,3.0,1,DSU,2.1,1.5,1,DSU,5.3,2.6,,---,.,.,,---,.,.,,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNA,.,.,,---,.,.,,---,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,---,.,.,,---,.,.,,---,.,.,---,.,.
                    Asian only,,DNA,.,.,,---,.,.,,---,.,.,1,DSU,14.8,7.6,1,DSU,0.0,0.0,1,DSU,0.0,0.0,1,DSU,0.0,0.0,,---,.,.,,---,.,.,,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander only,,DNA,.,.,,---,.,.,,---,.,.,1,DSU,42.3,0.0,1,DSU,58.6,0.0,1,DSU,100.0,0.0,1,DSU,0.0,0.0,,---,.,.,,---,.,.,,---,.,.,---,.,.
                 Black or African American only,,DNA,.,.,,---,.,.,,---,.,.,1,DSU,0.0,0.0,1,DSU,14.0,10.1,1,DSU,0.0,0.0,1,DSU,6.8,5.2,,---,.,.,,---,.,.,,---,.,.,---,.,.
                 White only,,DNA,.,.,,---,.,.,,---,.,.,1,10%,9.5,0.7,1,9%,8.9,0.7,1,8%,8.0,0.6,1,10%,9.8,0.6,,---,.,.,,---,.,.,,---,.,.,---,.,.
                 2 or more races,,DNA,.,.,,---,.,.,,---,.,.,1,DSU,11.5,4.7,1,DSU,9.5,4.5,1,DSU,5.3,2.5,1,DSU,13.5,4.6,,---,.,.,,---,.,.,,---,.,.,---,.,.
                    American Indian or Alaska Native; White,,DNA,.,.,,---,.,.,,---,.,.,1,DSU,11.9,4.9,1,DSU,12.6,5.8,1,DSU,7.1,3.4,1,DSU,19.7,4.9,,---,.,.,,---,.,.,,---,.,.,---,.,.
                    Black or African American; White,,DNA,.,.,,---,.,.,,---,.,.,1,DSU,0.0,0.0,1,DSU,0.0,0.0,1,DSU,0.0,0.0,1,DSU,0.0,0.0,,---,.,.,,---,.,.,,---,.,.,---,.,.
                 Hispanic or Latino,,DNA,.,.,,---,.,.,,---,.,.,1,DSU,8.6,3.2,1,DSU,3.4,1.4,1,DSU,4.9,1.5,1,9%,9.0,2.3,,---,.,.,,---,.,.,,---,.,.,---,.,.
                 Not Hispanic or Latino,,DNA,.,.,,---,.,.,,---,.,.,1,10%,9.8,0.7,1,9%,9.2,0.7,1,8%,7.9,0.6,1,10%,9.8,0.6,,---,.,.,,---,.,.,,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNA,.,.,,---,.,.,,---,.,.,1,DSU,0.0,0.0,1,DSU,14.0,10.1,1,DSU,0.0,0.0,1,DSU,6.8,5.2,,---,.,.,,---,.,.,,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNA,.,.,,---,.,.,,---,.,.,1,10%,9.6,0.7,1,9%,9.2,0.7,1,8%,8.1,0.6,1,10%,9.8,0.7,,---,.,.,,---,.,.,,---,.,.,---,.,.
                 Female,,DNA,.,.,,---,.,.,,---,.,.,1,2%,1.8,0.3,1,1%,0.9,0.2,1,DSU,0.4,0.2,1,1%,1.0,0.3,,---,.,.,,---,.,.,,---,.,.,---,.,.
                 Male,,DNA,.,.,,---,.,.,,---,.,.,1,17%,17.3,1.2,1,17%,16.5,1.1,1,15%,14.9,1.0,1,18%,18.2,1.1,,---,.,.,,---,.,.,,---,.,.,---,.,.
                 Less than high school,,DNA,.,.,,---,.,.,,---,.,.,1,14%,13.6,3.5,1,9%,9.0,2.5,1,7%,6.7,2.0,1,11%,11.2,2.9,,---,.,.,,---,.,.,,---,.,.,---,.,.
                    Less than 9th grade,,DNA,.,.,,---,.,.,,---,.,.,1,DSU,3.3,1.3,1,DSU,22.4,1.4,1,DSU,18.8,6.9,1,DSU,17.1,7.2,,---,.,.,,---,.,.,,---,.,.,---,.,.
                    Grades 9 through 11,,DNA,.,.,,---,.,.,,---,.,.,1,15%,15.4,4.1,1,10%,10.1,2.9,1,DSU,3.9,1.5,1,DSU,9.8,3.1,,---,.,.,,---,.,.,,---,.,.,---,.,.
                 High school graduate,,DNA,.,.,,---,.,.,,---,.,.,1,12%,11.7,1.2,1,10%,9.8,1.3,1,10%,10.5,1.1,1,13%,12.8,1.2,,---,.,.,,---,.,.,,---,.,.,---,.,.
                 At least some college,,DNA,.,.,,---,.,.,,---,.,.,1,7%,6.7,0.7,1,7%,7.0,0.7,1,5%,5.4,0.6,1,7%,7.3,0.7,,---,.,.,,---,.,.,,---,.,.,---,.,.
                    College graduate and above,,DNA,.,.,,---,.,.,,---,.,.,1,7%,6.9,1.1,1,6%,6.3,1.0,1,5%,5.0,0.8,1,5%,5.5,0.8,,---,.,.,,---,.,.,,---,.,.,---,.,.
                 Persons with disabilities,,DNA,.,.,,---,.,.,,---,.,.,1,9%,8.8,1.6,,DNC,.,.,1,7%,7.3,1.8,1,11%,10.9,2.0,,---,.,.,,---,.,.,,---,.,.,---,.,.
                 Persons without disabilities,,DNA,.,.,,---,.,.,,---,.,.,1,10%,9.5,0.7,,DNC,.,.,1,8%,8.2,0.6,1,10%,9.7,0.7,,---,.,.,,---,.,.,,---,.,.,---,.,.
                    Persons with diabetes,,DNA,.,.,,---,.,.,,---,.,.,1,DSU,8.2,4.1,1,DSU,11.8,5.1,1,DSU,4.1,1.7,1,9%,9.2,3.6,,---,.,.,,---,.,.,,---,.,.,---,.,.
                    Persons without diabetes,,DNA,.,.,,---,.,.,,---,.,.,1,10%,9.8,0.7,1,9%,8.8,0.6,1,8%,7.8,0.5,1,10%,9.8,0.6,,---,.,.,,---,.,.,,---,.,.,---,.,.
                    Persons aged 18 to 24 years (not age adjusted),,DNA,.,.,,---,.,.,,---,.,.,1,14%,13.7,2.4,1,14%,14.2,2.5,1,13%,12.6,2.2,1,15%,14.6,2.7,,---,.,.,,---,.,.,,---,.,.,---,.,.
                    Persons aged 25 to 44 years (not age adjusted),,DNA,.,.,,---,.,.,,---,.,.,1,12%,11.8,1.2,1,11%,10.9,1.1,1,10%,10.1,1.0,1,15%,15.0,1.2,,---,.,.,,---,.,.,,---,.,.,---,.,.
                    Persons aged 45 to 64 years (not age adjusted),,DNA,.,.,,---,.,.,,---,.,.,1,6%,6.4,0.8,1,7%,7.2,0.9,1,6%,5.5,0.7,1,6%,5.5,0.7,,---,.,.,,---,.,.,,---,.,.,---,.,.
                    Persons aged 65 years and over (not age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                    adjusted),,DNA,.,.,,---,.,.,,---,.,.,1,7%,7.1,1.3,1,2%,2.4,0.7,1,3%,2.5,0.6,1,DSU,1.0,0.3,,---,.,.,,---,.,.,,---,.,.,---,.,.
                                                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-2a Adolescent use of tobacco products in past month - Students (grades 9 through 12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              STATE:Alabama,,---,.,.,,43%,43.3,2.1,,---,.,.,,31%,30.5,2.0,,---,.,.,,32%,31.5,2.2,,---,.,.,,31%,30.8,2.3,,---,.,.,,DSU,.,.,---,.,.
              Race and ethnicity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                 American Indian or Alaska Native only,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Asian or Pacific Islander only,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                    Asian only,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander only,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Black or African American only,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,---,.,.
                 White only,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,---,.,.
                 2 or more races,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Hispanic or Latino,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Not Hispanic or Latino,,---,.,.,,43%,43.3,2.1,,---,.,.,,30%,30.4,2.0,,---,.,.,,32%,31.5,2.2,,---,.,.,,31%,30.9,2.3,,---,.,.,,DSU,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,---,.,.,,31%,31.0,2.6,,---,.,.,,21%,20.6,2.7,,---,.,.,,21%,21.0,4.1,,---,.,.,,21%,20.6,2.8,,---,.,.,,DSU,.,.,---,.,.
"                    White only, not Hispanic or Latino",,---,.,.,,48%,48.0,2.4,,---,.,.,,35%,35.4,2.3,,---,.,.,,37%,36.9,2.3,,---,.,.,,36%,35.9,2.9,,---,.,.,,DSU,.,.,---,.,.
              Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                 Female,,---,.,.,,36%,35.9,2.0,,---,.,.,,26%,26.1,2.2,,---,.,.,,28%,28.3,2.6,,---,.,.,,22%,22.0,1.8,,---,.,.,,DSU,.,.,---,.,.
                 Male,,---,.,.,,51%,50.6,2.5,,---,.,.,,35%,34.9,2.5,,---,.,.,,35%,34.7,2.9,,---,.,.,,41%,40.8,3.4,,---,.,.,,DSU,.,.,---,.,.
              Parent's education level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                 Less than high school,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,---,.,.
                 High school graduate,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,---,.,.
                 At least some college,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,---,.,.
              Sexual orientation,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,---,.,.
              Select populations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                 9th grade,,---,.,.,,40%,39.9,3.1,,---,.,.,,27%,27.4,2.5,,---,.,.,,31%,31.3,3.6,,---,.,.,,31%,30.7,4.1,,---,.,.,,DSU,.,.,---,.,.
                 10th grade,,---,.,.,,40%,39.9,3.3,,---,.,.,,34%,33.7,3.2,,---,.,.,,31%,31.5,2.9,,---,.,.,,26%,25.7,3.0,,---,.,.,,DSU,.,.,---,.,.
                 11th grade,,---,.,.,,43%,43.5,3.4,,---,.,.,,32%,32.1,4.2,,---,.,.,,29%,28.5,4.0,,---,.,.,,38%,37.6,5.1,,---,.,.,,DSU,.,.,---,.,.
                 12th grade,,---,.,.,,52%,52.3,3.6,,---,.,.,,29%,28.9,3.3,,---,.,.,,35%,34.6,3.9,,---,.,.,,33%,32.9,4.5,,---,.,.,,DSU,.,.,---,.,.
              STATE:Alaska,,---,.,.,3,39%,39.4,2.2,,---,.,.,,DNC,.,.,,---,.,.,,25%,24.8,1.4,,---,.,.,,DSU,.,.,,---,.,.,,24%,24.1,1.3,---,.,.
                 American Indian or Alaska Native only,,---,.,.,,DNA,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Asian or Pacific Islander only,,---,.,.,,DNA,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                    Asian only,,---,.,.,,DNA,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNA,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander only,,---,.,.,,DNA,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Black or African American only,,---,.,.,,DNA,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNA,.,.,---,.,.
                 White only,,---,.,.,,DNA,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNA,.,.,---,.,.
                 2 or more races,,---,.,.,,DNA,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Hispanic or Latino,,---,.,.,3,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Not Hispanic or Latino,,---,.,.,3,39%,39.0,2.3,,---,.,.,,DNC,.,.,,---,.,.,,25%,25.3,1.5,,---,.,.,,DSU,.,.,,---,.,.,,24%,24.3,1.3,---,.,.
"                    Black or African American only, not Hisp/Latino",,---,.,.,3,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
"                    White only, not Hispanic or Latino",,---,.,.,3,34%,34.2,1.9,,---,.,.,,DNC,.,.,,---,.,.,,17%,17.4,1.4,,---,.,.,,DSU,.,.,,---,.,.,,21%,21.3,1.8,---,.,.
                 Female,,---,.,.,3,39%,38.5,2.4,,---,.,.,,DNC,.,.,,---,.,.,,23%,23.1,1.9,,---,.,.,,DSU,.,.,,---,.,.,,23%,23.4,2.0,---,.,.
                 Male,,---,.,.,3,39%,39.4,3.6,,---,.,.,,DNC,.,.,,---,.,.,,27%,26.6,1.8,,---,.,.,,DSU,.,.,,---,.,.,,25%,24.9,1.5,---,.,.
                 Less than high school,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,---,.,.
                 High school graduate,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,---,.,.
                 At least some college,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,---,.,.
              Sexual orientation,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,---,.,.
                 9th grade,,---,.,.,3,31%,30.7,3.0,,---,.,.,,DNC,.,.,,---,.,.,,17%,16.8,1.9,,---,.,.,,DSU,.,.,,---,.,.,,19%,19.0,2.7,---,.,.
                 10th grade,,---,.,.,3,40%,40.3,4.4,,---,.,.,,DNC,.,.,,---,.,.,,29%,29.4,3.2,,---,.,.,,DSU,.,.,,---,.,.,,25%,24.8,3.0,---,.,.
                 11th grade,,---,.,.,3,43%,42.9,4.6,,---,.,.,,DNC,.,.,,---,.,.,,29%,28.5,3.7,,---,.,.,,DSU,.,.,,---,.,.,,25%,25.3,3.1,---,.,.
                 12th grade,,---,.,.,3,46%,46.4,4.1,,---,.,.,,DNC,.,.,,---,.,.,,26%,25.9,3.4,,---,.,.,,DSU,.,.,,---,.,.,,29%,29.0,2.9,---,.,.
              STATE:Arizona,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,26%,25.6,1.8,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 American Indian or Alaska Native only,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Asian or Pacific Islander only,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                    Asian only,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander only,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Black or African American only,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,---,.,.
                 White only,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,---,.,.
                 2 or more races,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Hispanic or Latino,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,23%,23.4,2.9,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Not Hispanic or Latino,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,27%,26.6,1.9,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
"                    White only, not Hispanic or Latino",,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,26%,26.2,2.1,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Female,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,23%,23.0,2.0,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Male,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,28%,28.3,2.3,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Less than high school,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 High school graduate,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 At least some college,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
              Sexual orientation,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 9th grade,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,20%,20.2,2.2,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 10th grade,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,21%,20.8,2.3,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 11th grade,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,28%,28.5,3.5,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 12th grade,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,35%,34.8,4.2,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
              STATE:Arkansas,,---,.,.,,44%,43.9,2.2,,---,.,.,,41%,41.4,2.3,,---,.,.,,DSU,.,.,,---,.,.,,34%,33.8,1.5,,---,.,.,,28%,28.3,1.7,---,.,.
                 American Indian or Alaska Native only,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Asian or Pacific Islander only,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                    Asian only,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander only,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Black or African American only,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,---,.,.
                 White only,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,---,.,.
                 2 or more races,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Hispanic or Latino,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,21%,21.4,4.7,---,.,.
                 Not Hispanic or Latino,,---,.,.,,44%,43.7,2.2,,---,.,.,,41%,41.5,2.3,,---,.,.,,DSU,.,.,,---,.,.,,34%,33.9,1.6,,---,.,.,,28%,28.5,1.7,---,.,.
"                    Black or African American only, not Hisp/Latino",,---,.,.,,29%,28.9,5.0,,---,.,.,,32%,31.6,3.8,,---,.,.,,DSU,.,.,,---,.,.,,19%,19.2,3.9,,---,.,.,,24%,24.5,2.9,---,.,.
"                    White only, not Hispanic or Latino",,---,.,.,,47%,46.5,2.1,,---,.,.,,44%,44.4,2.6,,---,.,.,,DSU,.,.,,---,.,.,,38%,38.2,1.7,,---,.,.,,30%,29.6,1.8,---,.,.
                 Female,,---,.,.,,39%,39.1,2.8,,---,.,.,,34%,33.5,2.3,,---,.,.,,DSU,.,.,,---,.,.,,32%,31.6,2.3,,---,.,.,,23%,23.1,2.2,---,.,.
                 Male,,---,.,.,,49%,48.7,2.4,,---,.,.,,49%,49.0,3.1,,---,.,.,,DSU,.,.,,---,.,.,,36%,36.0,2.5,,---,.,.,,34%,33.7,2.3,---,.,.
                 Less than high school,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 High school graduate,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 At least some college,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
              Sexual orientation,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 9th grade,,---,.,.,,38%,38.4,3.6,,---,.,.,,31%,31.3,2.8,,---,.,.,,DSU,.,.,,---,.,.,,31%,30.6,3.0,,---,.,.,,24%,24.3,2.0,---,.,.
                 10th grade,,---,.,.,,46%,46.0,3.0,,---,.,.,,40%,39.9,3.3,,---,.,.,,DSU,.,.,,---,.,.,,34%,33.7,3.4,,---,.,.,,28%,27.9,2.5,---,.,.
                 11th grade,,---,.,.,,40%,40.5,4.4,,---,.,.,,45%,45.1,3.1,,---,.,.,,DSU,.,.,,---,.,.,,37%,36.6,2.4,,---,.,.,,31%,31.3,3.0,---,.,.
                 12th grade,,---,.,.,,51%,51.2,3.3,,---,.,.,,52%,52.2,2.9,,---,.,.,,DSU,.,.,,---,.,.,,34%,34.0,3.1,,---,.,.,,31%,31.1,4.5,---,.,.
              STATE:California,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 American Indian or Alaska Native only,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 Asian or Pacific Islander only,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                    Asian only,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
