Focus area: 19-Nutrition and Overweight - 03-18-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Objective                                        ,1998 footnote,1998 data,raw   data,se   data,1999 footnote,1999 data,raw   data,se   data,2000 footnote,2000 data,raw  data,se   data,2001 footnote,2001 data,raw   data,se   data,2002 footnote,2002 data,raw   data,se   data,2003 footnote,2003 data,raw   data,se   data,2004 footnote,2004 data,raw   data,se   data,2005 footnote,2005 data,raw   data,se   data,2006 data,2006 raw value,2006 se,2007 data,2007 raw value,2007 se,2008 data,2008 raw value,2008 se
               Persons with high blood pressure,,DNC,.,.,1,24%,24.3,2.3,,DNC,.,.,1,23%,22.9,1.7,,DNC,.,.,1,21%,21.0,1.3,,DNC,.,.,1,DNC,21.7,1.5,---,.,.,---,.,.,---,.,.
               Persons without high blood pressure,,DNC,.,.,1,45%,45.0,1.3,,DNC,.,.,1,42%,42.0,1.0,,DNC,.,.,1,43%,43.1,0.7,,DNC,.,.,1,DNC,41.2,0.7,---,.,.,---,.,.,---,.,.
            STATE:New Mexico,1,44%,44.1,0.9,1,40%,39.8,0.9,1,40%,39.8,1.0,1,38%,38.1,1.0,1,39%,39.0,0.9,1,39%,38.7,0.8,1,38%,37.8,0.8,1,36%,36.0,0.9,---,.,.,---,.,.,---,.,.
               American Indian or Alaska Native only,"1,2",32%,31.7,3.5,"1,2",29%,28.6,3.7,"1,2",35%,35.2,4.6,1,28%,28.4,3.5,1,29%,28.9,3.7,1,22%,21.7,2.9,1,31%,31.4,2.9,1,22%,22.4,2.3,---,.,.,---,.,.,---,.,.
               Asian or Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.,---,.,.
                  Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,46.3,7.1,1,DSU,60.9,7.8,1,DSU,61.3,7.6,1,DSU,51.0,6.7,1,DSU,55.3,9.5,---,.,.,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,13.6,8.2,1,DSU,41.5,7.9,1,DSU,26.8,11.0,1,DSU,32.4,10.7,1,DSU,51.4,14.3,---,.,.,---,.,.,---,.,.
               Black or African American only,"1,2",40%,39.6,6.3,"1,2",38%,37.6,7.1,"1,2",DSU,39.5,9.3,1,31%,30.9,6.7,1,27%,26.9,6.1,1,34%,34.0,6.4,1,DSU,12.4,3.9,1,27%,26.6,5.8,---,.,.,---,.,.,---,.,.
               White only,"1,2",46%,46.0,1.1,"1,2",44%,43.6,1.1,"1,2",43%,42.8,1.2,1,41%,41.4,1.2,1,41%,41.2,1.1,1,42%,41.9,1.0,1,40%,40.0,0.9,1,38%,38.4,1.0,---,.,.,---,.,.,---,.,.
               2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,34%,34.3,6.8,1,39%,39.1,6.1,1,37%,37.1,6.0,1,29%,29.4,4.4,1,39%,38.6,5.6,---,.,.,---,.,.,---,.,.
                  American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,26.2,7.3,1,DSU,57.9,9.7,1,31%,31.3,10.1,1,28%,27.9,5.8,1,37%,37.0,6.5,---,.,.,---,.,.,---,.,.
                  Black or African American; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,27.8,11.6,1,DSU,19.5,13.5,1,DSU,8.4,9.3,1,DSU,51.6,11.5,1,DSU,56.9,9.1,---,.,.,---,.,.,---,.,.
               Hispanic or Latino,1,39%,38.9,1.6,1,35%,34.9,1.5,1,31%,30.5,1.5,1,30%,30.2,1.5,1,33%,32.9,1.4,1,31%,31.2,1.2,1,33%,32.9,1.3,1,31%,30.6,1.4,---,.,.,---,.,.,---,.,.
               Not Hispanic or Latino,1,47%,47.4,1.2,1,43%,43.2,1.2,1,46%,46.1,1.3,1,43%,43.0,1.3,1,43%,43.2,1.2,1,43%,43.0,1.1,1,41%,41.1,1.0,1,39%,39.4,1.1,---,.,.,---,.,.,---,.,.
"                  Black or African American only, not Hisp/Latino","1,2",36%,36.0,6.9,"1,2",DSU,38.0,7.5,"1,2",DSU,46.9,9.0,1,31%,30.7,7.3,1,27%,26.9,6.6,1,33%,32.5,6.7,1,DSU,12.8,4.2,1,25%,25.4,6.3,---,.,.,---,.,.,---,.,.
"                  White only, not Hispanic or Latino","1,2",49%,49.0,1.3,"1,2",46%,45.7,1.3,"1,2",48%,47.5,1.4,1,46%,45.8,1.4,1,45%,45.0,1.3,1,45%,45.1,1.2,1,43%,43.1,1.1,1,42%,42.0,1.2,---,.,.,---,.,.,---,.,.
               Female,1,49%,48.9,1.3,1,45%,44.9,1.3,1,45%,45.1,1.3,1,45%,44.8,1.3,1,44%,43.5,1.2,1,45%,44.9,1.1,1,43%,42.9,1.0,1,40%,40.5,1.1,---,.,.,---,.,.,---,.,.
               Male,1,39%,39.2,1.4,1,35%,34.8,1.3,1,34%,34.2,1.4,1,31%,31.2,1.4,1,34%,34.4,1.4,1,32%,32.2,1.2,1,33%,32.6,1.2,1,31%,31.4,1.3,---,.,.,---,.,.,---,.,.
               Less than high school,1,36%,36.2,2.6,1,27%,27.4,2.3,1,28%,28.0,2.4,1,21%,21.2,2.0,1,27%,26.7,2.5,1,26%,25.8,2.1,1,27%,27.0,2.0,1,24%,24.4,2.0,---,.,.,---,.,.,---,.,.
                  Less than 9th grade,1,32%,32.1,4.5,1,22%,21.9,3.1,1,20%,19.7,2.9,1,16%,15.6,2.3,1,18%,18.0,2.9,1,21%,21.3,3.2,1,24%,24.2,2.9,1,21%,20.6,3.2,---,.,.,---,.,.,---,.,.
                  Grades 9 through 11,1,39%,38.6,3.2,1,31%,31.3,3.3,1,35%,35.2,3.6,1,26%,25.8,3.1,1,33%,33.0,3.5,1,30%,29.8,2.8,1,29%,29.0,2.6,1,28%,27.5,2.6,---,.,.,---,.,.,---,.,.
               High school graduate,1,40%,40.5,1.8,1,39%,39.5,1.9,1,36%,36.3,1.9,1,35%,34.9,1.9,1,35%,35.2,1.7,1,34%,34.4,1.5,1,30%,30.0,1.4,1,29%,29.1,1.4,---,.,.,---,.,.,---,.,.
               At least some college,1,45%,45.5,1.3,1,42%,42.1,1.3,1,43%,42.9,1.3,1,40%,40.1,1.4,1,41%,41.1,1.2,1,40%,39.8,1.0,1,41%,40.7,1.0,1,39%,38.8,1.0,---,.,.,---,.,.,---,.,.
                  College graduate and above,1,51%,50.5,1.8,1,45%,45.2,1.7,1,47%,46.9,1.8,1,46%,46.1,1.9,1,45%,45.0,1.6,1,43%,43.0,1.4,1,45%,44.7,1.4,1,42%,42.3,1.4,---,.,.,---,.,.,---,.,.
                  Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,35%,34.7,2.3,,DNC,.,.,1,34%,34.3,2.0,1,31%,30.7,2.0,1,33%,33.4,2.3,---,.,.,---,.,.,---,.,.
                  Persons without disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,39%,39.2,1.1,,DNC,.,.,1,40%,40.1,0.9,1,40%,39.5,0.9,1,37%,37.3,1.0,---,.,.,---,.,.,---,.,.
                  Persons aged 20 to 39 years (not age adjusted),1,49%,49.3,1.7,1,43%,43.0,1.6,1,43%,43.1,1.7,1,42%,42.1,1.7,1,42%,42.2,1.7,1,43%,43.2,1.6,1,40%,40.4,1.5,1,40%,40.5,1.7,---,.,.,---,.,.,---,.,.
                  Persons aged 40 to 59 years (not age adjusted),1,38%,37.7,1.4,1,36%,36.2,1.4,1,36%,36.4,1.5,1,34%,33.7,1.5,1,36%,35.7,1.3,1,34%,33.9,1.2,1,35%,34.7,1.1,1,31%,30.8,1.1,---,.,.,---,.,.,---,.,.
                  Persons aged 60 years and over (not age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  adjusted),1,45%,45.2,1.8,1,40%,40.2,1.9,1,40%,39.6,1.9,1,38%,38.2,1.8,1,39%,38.9,1.5,1,39%,38.6,1.4,1,39%,38.5,1.3,1,37%,36.7,1.2,---,.,.,---,.,.,---,.,.
               Persons with arthritis,,DNC,.,.,,DNC,.,.,1,32%,31.6,2.6,1,34%,34.1,2.7,1,31%,31.5,2.1,1,33%,32.5,2.1,,DNC,.,.,1,DNC,27.3,2.1,---,.,.,---,.,.,---,.,.
               Persons without arthritis,,DNC,.,.,,DNC,.,.,1,42%,42.1,1.2,1,40%,39.6,1.1,1,42%,42.0,1.1,1,41%,40.6,1.0,,DNC,.,.,1,DNC,37.6,1.0,---,.,.,---,.,.,---,.,.
               Persons with diabetes,1,24%,23.6,4.8,1,20%,19.5,4.4,1,12%,12.4,3.4,1,14%,13.9,4.1,1,13%,13.2,2.5,1,15%,15.2,4.6,1,15%,14.7,3.0,1,17%,16.8,3.3,---,.,.,---,.,.,---,.,.
               Persons without diabetes,1,45%,44.9,1.0,1,41%,41.2,1.0,1,42%,41.7,1.0,1,39%,39.4,1.0,1,40%,40.4,0.9,1,40%,40.0,0.8,1,40%,39.7,0.8,1,38%,37.6,0.9,---,.,.,---,.,.,---,.,.
               Persons with high blood pressure,,DNC,.,.,1,26%,25.6,2.2,,DNC,.,.,1,22%,21.9,2.1,,DNC,.,.,1,22%,22.2,1.8,,DNC,.,.,1,DNC,20.6,2.1,---,.,.,---,.,.,---,.,.
               Persons without high blood pressure,,DNC,.,.,1,44%,43.7,1.1,,DNC,.,.,1,41%,41.5,1.1,,DNC,.,.,1,42%,42.1,0.9,,DNC,.,.,1,DNC,39.3,1.0,---,.,.,---,.,.,---,.,.
            STATE:New York,1,43%,43.4,1.2,1,42%,41.5,1.1,1,38%,38.4,1.0,1,39%,38.6,0.9,1,38%,38.2,0.9,1,39%,38.9,0.8,1,37%,37.4,0.8,1,38%,37.6,0.9,---,.,.,---,.,.,---,.,.
               American Indian or Alaska Native only,"1,2",DSU,38.2,13.1,"1,2",DSU,28.0,8.4,"1,2",DSU,29.1,9.4,1,DSU,23.1,7.1,1,DSU,28.4,7.5,1,30%,29.6,6.4,1,DSU,30.2,7.8,1,DSU,68.0,8.1,---,.,.,---,.,.,---,.,.
               Asian or Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.,---,.,.
                  Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,65%,64.5,7.8,1,63%,63.2,5.6,1,54%,54.4,5.0,1,48%,48.2,5.1,1,56%,56.5,4.7,---,.,.,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,17.5,6.6,1,DSU,32.2,17.1,1,DSU,44.4,15.8,1,DSU,53.4,12.5,1,DSU,25.4,8.8,---,.,.,---,.,.,---,.,.
               Black or African American only,"1,2",35%,34.8,3.3,"1,2",30%,29.8,3.1,"1,2",29%,28.7,2.7,1,28%,27.7,2.7,1,27%,26.8,2.6,1,30%,30.5,2.4,1,33%,32.5,2.4,1,30%,30.0,3.0,---,.,.,---,.,.,---,.,.
               White only,"1,2",44%,44.5,1.3,"1,2",43%,43.3,1.3,"1,2",41%,40.6,1.1,1,40%,39.9,1.0,1,40%,40.5,1.0,1,40%,40.3,0.9,1,38%,38.3,0.9,1,38%,37.9,1.0,---,.,.,---,.,.,---,.,.
               2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,39.4,7.3,1,43%,43.2,6.6,1,24%,23.5,5.3,1,44%,43.7,6.1,1,DSU,23.7,7.1,---,.,.,---,.,.,---,.,.
                  American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,49.4,14.5,1,DSU,47.7,5.3,1,DSU,14.3,6.1,1,DSU,64.5,7.8,1,DSU,17.1,6.8,---,.,.,---,.,.,---,.,.
                  Black or African American; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,40.9,17.8,1,DSU,43.6,9.3,1,DSU,29.2,10.2,1,DSU,27.1,9.8,1,DSU,18.0,10.0,---,.,.,---,.,.,---,.,.
               Hispanic or Latino,1,34%,33.6,3.6,1,34%,34.0,3.4,1,31%,31.5,3.0,1,31%,31.5,2.8,1,33%,33.0,2.7,1,31%,31.1,2.3,1,30%,30.1,2.4,1,32%,31.6,2.6,---,.,.,---,.,.,---,.,.
               Not Hispanic or Latino,1,44%,44.5,1.2,1,43%,42.6,1.2,1,40%,39.8,1.0,1,40%,40.4,1.0,1,39%,39.1,0.9,1,40%,40.1,0.9,1,39%,38.9,0.8,1,39%,39.1,1.0,---,.,.,---,.,.,---,.,.
"                  Black or African American only, not Hisp/Latino","1,2",36%,36.2,3.5,"1,2",29%,28.8,3.2,"1,2",28%,28.2,2.7,1,28%,27.6,2.8,1,28%,27.5,2.7,1,31%,31.3,2.6,1,32%,32.3,2.5,1,29%,28.8,2.8,---,.,.,---,.,.,---,.,.
"                  White only, not Hispanic or Latino","1,2",45%,44.7,1.4,"1,2",44%,44.3,1.3,"1,2",41%,40.7,1.2,1,42%,41.7,1.1,1,40%,40.4,1.0,1,41%,41.1,0.9,1,40%,39.8,0.9,1,39%,39.0,1.0,---,.,.,---,.,.,---,.,.
               Female,1,49%,48.8,1.5,1,47%,46.7,1.5,1,44%,43.9,1.3,1,44%,43.7,1.2,1,43%,42.8,1.1,1,44%,44.5,1.1,1,43%,42.9,1.0,1,43%,42.7,1.1,---,.,.,---,.,.,---,.,.
               Male,1,38%,37.9,1.8,1,36%,36.2,1.7,1,33%,32.7,1.5,1,34%,33.5,1.4,1,33%,33.3,1.3,1,33%,32.9,1.2,1,32%,31.6,1.2,1,32%,32.1,1.4,---,.,.,---,.,.,---,.,.
               Less than high school,1,34%,34.0,3.9,1,33%,32.8,3.5,1,31%,30.7,3.7,1,23%,23.2,2.7,1,28%,28.3,2.8,1,30%,29.7,2.6,1,26%,26.3,2.5,1,23%,23.5,3.2,---,.,.,---,.,.,---,.,.
                  Less than 9th grade,1,22%,22.2,5.3,1,29%,29.4,5.5,1,31%,31.4,7.1,1,20%,20.2,3.6,1,23%,23.2,4.4,1,27%,26.6,4.3,1,25%,24.6,3.9,1,26%,26.4,5.8,---,.,.,---,.,.,---,.,.
                  Grades 9 through 11,1,35%,35.4,4.5,1,33%,32.6,4.3,1,31%,30.6,4.1,1,25%,24.7,3.8,1,32%,32.4,3.6,1,32%,32.3,3.3,1,27%,27.5,3.2,1,21%,21.5,3.1,---,.,.,---,.,.,---,.,.
               High school graduate,1,38%,38.5,2.1,1,38%,37.7,2.2,1,34%,34.3,2.0,1,34%,34.3,1.7,1,32%,31.8,1.7,1,31%,31.4,1.6,1,31%,31.1,1.5,1,31%,31.4,1.8,---,.,.,---,.,.,---,.,.
               At least some college,1,46%,46.3,1.6,1,42%,42.2,1.5,1,39%,38.7,1.3,1,40%,40.4,1.2,1,40%,39.5,1.1,1,41%,41.2,1.0,1,40%,39.8,1.0,1,40%,40.0,1.0,---,.,.,---,.,.,---,.,.
                  College graduate and above,1,49%,49.1,2.1,1,47%,47.1,2.0,1,43%,42.9,1.7,1,44%,44.3,1.6,1,43%,42.8,1.5,1,46%,45.6,1.3,1,43%,43.0,1.3,1,45%,45.2,1.3,---,.,.,---,.,.,---,.,.
                  Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,34%,34.4,2.4,,DNC,.,.,1,32%,32.5,1.9,1,33%,32.8,2.1,1,31%,30.9,2.2,---,.,.,---,.,.,---,.,.
                  Persons without disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,40%,39.9,1.0,,DNC,.,.,1,40%,40.5,0.9,1,39%,39.1,0.9,1,39%,39.2,1.0,---,.,.,---,.,.,---,.,.
                  Persons aged 20 to 39 years (not age adjusted),1,51%,50.8,1.9,1,47%,47.4,1.8,1,46%,46.0,1.7,1,46%,45.7,1.6,1,47%,47.2,1.6,1,46%,46.3,1.5,1,41%,41.0,1.5,1,44%,43.5,1.8,---,.,.,---,.,.,---,.,.
                  Persons aged 40 to 59 years (not age adjusted),1,40%,40.0,1.9,1,37%,37.5,1.8,1,34%,34.5,1.6,1,33%,32.6,1.4,1,31%,31.5,1.3,1,33%,33.3,1.2,1,35%,34.6,1.2,1,34%,34.0,1.2,---,.,.,---,.,.,---,.,.
                  Persons aged 60 years and over (not age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  adjusted),1,36%,36.2,2.2,1,38%,37.9,2.2,1,32%,31.9,1.9,1,36%,35.9,1.9,1,33%,33.4,1.7,1,35%,35.1,1.5,1,36%,35.7,1.4,1,33%,33.3,1.2,---,.,.,---,.,.,---,.,.
               Persons with arthritis,,DNC,.,.,,DNC,.,.,1,31%,31.3,2.4,1,35%,35.5,2.5,1,32%,32.5,2.2,1,33%,32.6,2.1,1,31%,30.9,1.8,1,DNC,29.2,1.9,---,.,.,---,.,.,---,.,.
               Persons without arthritis,,DNC,.,.,,DNC,.,.,1,41%,40.6,1.2,1,40%,40.4,1.1,1,41%,41.5,1.1,1,42%,41.9,1.0,1,41%,41.3,1.0,1,DNC,39.5,0.9,---,.,.,---,.,.,---,.,.
               Persons with diabetes,1,20%,19.9,6.2,1,27%,27.0,6.6,1,27%,27.1,7.1,1,23%,22.6,4.3,1,13%,13.2,3.2,1,20%,20.2,3.7,1,24%,24.4,4.6,1,17%,17.3,4.7,---,.,.,---,.,.,---,.,.
               Persons without diabetes,1,45%,45.2,1.2,1,43%,42.6,1.1,1,39%,39.4,1.0,1,40%,40.1,1.0,1,40%,39.7,0.9,1,40%,40.4,0.8,1,39%,38.8,0.8,1,39%,39.1,0.9,---,.,.,---,.,.,---,.,.
               Persons with high blood pressure,,DNC,.,.,1,25%,24.9,2.7,,DNC,.,.,1,25%,24.5,2.0,,DNC,.,.,1,20%,20.4,1.8,,DNC,.,.,1,DNC,18.5,1.5,---,.,.,---,.,.,---,.,.
               Persons without high blood pressure,,DNC,.,.,1,46%,45.8,1.3,,DNC,.,.,1,44%,43.9,1.1,,DNC,.,.,1,44%,44.5,1.0,,DNC,.,.,1,DNC,41.8,0.8,---,.,.,---,.,.,---,.,.
            STATE:North Carolina,1,39%,38.9,1.3,1,37%,37.4,1.2,1,37%,36.7,1.0,1,37%,37.0,1.0,1,35%,35.0,0.9,1,34%,34.2,0.8,1,34%,34.2,0.5,1,33%,32.8,0.6,---,.,.,---,.,.,---,.,.
               American Indian or Alaska Native only,"1,2",DSU,26.8,9.5,"1,2",DSU,39.1,9.4,"1,2",DSU,30.8,8.6,1,49%,48.9,8.3,1,29%,29.4,6.1,1,27%,27.0,4.8,1,25%,24.5,3.8,1,27%,27.5,3.9,---,.,.,---,.,.,---,.,.
               Asian or Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.,---,.,.
                  Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,61.4,9.7,1,53%,53.1,6.3,1,DSU,71.0,7.4,1,45%,45.4,8.3,1,70%,70.0,6.5,---,.,.,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,41.5,7.9,1,DSU,48.8,13.6,1,DSU,11.7,6.9,1,DSU,28.4,12.4,1,DSU,21.5,11.1,---,.,.,---,.,.,---,.,.
               Black or African American only,"1,2",28%,28.2,2.7,"1,2",26%,26.3,2.4,"1,2",27%,27.4,2.3,1,26%,26.2,2.0,1,24%,23.9,2.1,1,24%,23.7,1.6,1,23%,22.8,1.2,1,22%,22.1,1.2,---,.,.,---,.,.,---,.,.
               White only,"1,2",43%,42.6,1.4,"1,2",40%,39.8,1.4,"1,2",39%,38.6,1.2,1,40%,39.6,1.1,1,39%,38.6,1.1,1,37%,37.2,0.9,1,38%,37.5,0.6,1,35%,35.3,0.7,---,.,.,---,.,.,---,.,.
               2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,34%,34.2,7.4,1,DSU,18.7,6.5,1,40%,39.7,7.3,1,28%,28.1,4.6,1,28%,27.7,4.9,---,.,.,---,.,.,---,.,.
                  American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,44.3,7.3,1,DSU,17.3,11.1,1,DSU,38.7,10.0,1,DSU,29.3,9.2,1,20%,20.1,5.7,---,.,.,---,.,.,---,.,.
                  Black or African American; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,46.8,7.8,1,DSU,10.1,5.5,1,DSU,38.5,11.1,1,28%,28.4,6.6,1,DSU,0.0,0.0,---,.,.,---,.,.,---,.,.
               Hispanic or Latino,1,53%,53.2,8.3,1,33%,33.3,6.6,1,36%,36.1,8.5,1,30%,30.3,5.0,1,24%,24.5,4.1,1,27%,26.9,4.5,1,31%,30.8,3.1,1,30%,30.3,2.4,---,.,.,---,.,.,---,.,.
               Not Hispanic or Latino,1,39%,39.0,1.3,1,38%,37.6,1.2,1,37%,36.7,1.0,1,37%,37.4,1.0,1,36%,36.1,0.9,1,35%,34.9,0.8,1,35%,34.6,0.5,1,33%,33.2,0.6,---,.,.,---,.,.,---,.,.
"                  Black or African American only, not Hisp/Latino","1,2",28%,28.1,2.7,"1,2",26%,26.2,2.4,"1,2",28%,27.8,2.3,1,26%,26.1,2.0,1,24%,23.9,2.1,1,24%,23.7,1.6,1,23%,22.8,1.2,1,22%,22.1,1.2,---,.,.,---,.,.,---,.,.
"                  White only, not Hispanic or Latino","1,2",42%,42.2,1.4,"1,2",40%,40.1,1.4,"1,2",39%,38.8,1.2,1,40%,39.8,1.2,1,39%,38.8,1.1,1,37%,37.3,1.0,1,38%,37.7,0.6,1,35%,35.3,0.7,---,.,.,---,.,.,---,.,.
               Female,1,44%,43.9,1.6,1,45%,44.9,1.5,1,43%,43.1,1.3,1,43%,43.2,1.3,1,40%,39.7,1.2,1,39%,39.4,1.0,1,39%,38.9,0.7,1,37%,36.8,0.7,---,.,.,---,.,.,---,.,.
               Male,1,34%,33.5,2.0,1,30%,29.6,1.7,1,30%,30.0,1.6,1,31%,30.7,1.4,1,30%,30.0,1.3,1,29%,29.0,1.2,1,29%,29.3,0.8,1,29%,28.6,0.8,---,.,.,---,.,.,---,.,.
               Less than high school,1,32%,31.5,4.0,1,31%,30.7,3.5,1,31%,30.5,3.0,1,37%,37.1,3.1,1,25%,24.9,2.2,1,30%,29.6,2.3,1,25%,25.2,1.3,1,28%,28.2,1.5,---,.,.,---,.,.,---,.,.
                  Less than 9th grade,1,34%,34.2,8.6,1,32%,32.2,7.3,1,40%,39.7,7.2,1,31%,31.1,7.1,1,26%,25.6,3.8,1,30%,30.3,4.6,1,21%,20.6,2.1,1,24%,24.3,2.4,---,.,.,---,.,.,---,.,.
                  Grades 9 through 11,1,32%,31.7,4.3,1,30%,30.4,4.0,1,29%,28.7,3.2,1,40%,40.3,3.5,1,25%,24.8,2.7,1,29%,29.1,2.6,1,27%,27.2,1.6,1,31%,31.1,2.0,---,.,.,---,.,.,---,.,.
               High school graduate,1,35%,35.2,2.2,1,31%,31.1,1.9,1,32%,32.1,1.7,1,30%,30.2,1.6,1,30%,29.9,1.5,1,29%,29.4,1.4,1,30%,30.0,0.9,1,27%,26.6,0.9,---,.,.,---,.,.,---,.,.
               At least some college,1,41%,41.4,1.8,1,37%,37.0,1.6,1,37%,36.9,1.5,1,38%,38.4,1.3,1,37%,37.3,1.2,1,36%,36.1,1.0,1,35%,35.3,0.7,1,34%,33.7,0.7,---,.,.,---,.,.,---,.,.
                  College graduate and above,1,44%,44.0,2.6,1,41%,40.8,2.3,1,40%,40.5,2.0,1,42%,42.0,1.9,1,41%,40.9,1.7,1,40%,39.9,1.4,1,39%,39.3,0.9,1,37%,37.3,0.9,---,.,.,---,.,.,---,.,.
                  Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,30%,29.9,2.7,,DNC,.,.,1,26%,25.7,1.8,1,31%,31.2,1.5,1,28%,28.0,1.4,---,.,.,---,.,.,---,.,.
                  Persons without disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,39%,38.8,1.1,,DNC,.,.,1,36%,36.2,0.9,1,35%,35.3,0.6,1,34%,34.4,0.6,---,.,.,---,.,.,---,.,.
                  Persons aged 20 to 39 years (not age adjusted),1,45%,45.4,2.3,1,42%,42.4,2.1,1,44%,43.6,1.9,1,43%,43.0,1.7,1,40%,40.0,1.7,1,37%,37.2,1.5,1,39%,39.5,1.0,1,38%,37.8,1.1,---,.,.,---,.,.,---,.,.
                  Persons aged 40 to 59 years (not age adjusted),1,34%,34.0,2.1,1,32%,31.8,1.8,1,32%,31.6,1.6,1,31%,31.2,1.6,1,29%,28.8,1.3,1,30%,29.9,1.2,1,29%,29.4,0.8,1,28%,28.1,0.7,---,.,.,---,.,.,---,.,.
                  Persons aged 60 years and over (not age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  adjusted),1,36%,35.8,2.2,1,38%,37.7,2.2,1,33%,33.3,1.8,1,36%,36.2,1.7,1,36%,36.3,1.7,1,36%,36.2,1.3,1,33%,33.1,0.8,1,32%,32.0,0.8,---,.,.,---,.,.,---,.,.
               Persons with arthritis,,DNC,.,.,,DNC,.,.,1,28%,27.9,2.6,1,31%,30.6,2.7,1,27%,26.7,1.8,1,29%,28.5,1.7,,DNC,.,.,1,DNC,26.1,1.2,---,.,.,---,.,.,---,.,.
               Persons without arthritis,,DNC,.,.,,DNC,.,.,1,40%,39.7,1.2,1,40%,39.6,1.2,1,38%,38.4,1.1,1,37%,36.6,1.0,,DNC,.,.,1,DNC,35.3,0.6,---,.,.,---,.,.,---,.,.
               Persons with diabetes,1,24%,23.7,5.5,1,23%,22.5,5.5,1,15%,14.7,4.1,1,22%,21.9,4.1,1,24%,24.5,4.9,1,16%,16.4,3.3,1,15%,15.2,1.9,1,16%,16.2,2.6,---,.,.,---,.,.,---,.,.
               Persons without diabetes,1,40%,40.2,1.3,1,39%,38.6,1.2,1,38%,38.1,1.1,1,38%,38.2,1.0,1,36%,36.2,0.9,1,36%,36.1,0.8,1,36%,36.0,0.6,1,35%,34.9,0.6,---,.,.,---,.,.,---,.,.
               Persons with high blood pressure,,DNC,.,.,1,21%,21.0,2.1,,DNC,.,.,1,20%,20.2,1.9,,DNC,.,.,1,20%,19.7,1.5,,DNC,.,.,1,DNC,17.7,0.9,---,.,.,---,.,.,---,.,.
               Persons without high blood pressure,,DNC,.,.,1,42%,41.8,1.4,,DNC,.,.,1,44%,43.7,1.2,,DNC,.,.,1,39%,39.3,1.0,,DNC,.,.,1,DNC,38.8,0.6,---,.,.,---,.,.,---,.,.
            STATE:North Dakota,1,40%,40.4,1.3,1,36%,36.0,1.2,1,35%,35.3,1.2,1,35%,35.0,1.0,1,34%,33.7,1.0,1,33%,33.1,1.0,1,34%,33.9,1.0,1,32%,31.8,0.9,---,.,.,---,.,.,---,.,.
               American Indian or Alaska Native only,"1,2",35%,34.5,6.7,"1,2",22%,21.8,5.3,"1,2",DSU,19.0,6.4,1,DSU,12.2,3.9,1,19%,19.5,4.3,1,30%,29.8,6.3,1,21%,20.5,5.1,1,14%,13.9,3.7,---,.,.,---,.,.,---,.,.
               Asian or Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.,---,.,.
