Focus area: 21-Oral Health - 03-18-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Objective                                        ,1998 footnote,1998 data,1998 raw value,1998 se,1999 footnote,1999 data,1999 raw value,1999 se,2000 footnote,2000 data,2000 raw value,2000 se,2001 footnote,2001 data,2001 raw value,2001 se,2002 footnote,2002 data,2002 raw value,2002 se,2003 footnote,2003 data,2003 raw value,2003 se,2004 footnote,2004 data,2004 raw value,2004 se,2005 footnote,2005 data,2005 raw value,2005 se,2006 footnote,2006 data,2006 raw value,2006 se,2007 data,2007 raw value,2007 se,2008 data,2008 raw value,2008 se
               Male,,DNC,.,.,1,46%,46.4,5.3,,DNC,.,.,,DNC,.,.,1,40%,39.6,5.8,,DNC,.,.,1,34%,33.6,4.9,,DNC,.,.,1,18%,17.9,2.3,---,.,.,---,.,.
               Less than high school,,DNC,.,.,1,25%,25.5,3.3,,DNC,.,.,,DNC,.,.,1,27%,27.3,3.0,,DNC,.,.,1,27%,26.8,2.6,,DNC,.,.,1,11%,11.3,1.8,---,.,.,---,.,.
               High school graduate,,DNC,.,.,1,14%,14.3,2.7,,DNC,.,.,,DNC,.,.,1,12%,12.0,2.1,,DNC,.,.,1,13%,12.8,1.9,,DNC,.,.,1,19%,18.7,2.5,---,.,.,---,.,.
               At least some college,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,27%,27.4,3.0,,DNC,.,.,1,16%,16.0,1.7,---,.,.,---,.,.
               Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,19%,19.0,1.8,,DNC,.,.,1,31%,31.2,2.4,---,.,.,---,.,.
               Persons without disabilities,,DNC,.,.,1,24%,24.3,2.4,,DNC,.,.,,DNC,.,.,1,34%,33.9,2.7,,DNC,.,.,1,28%,28.5,2.4,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
            STATE:Tennessee,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,33.3,22.5,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
               American Indian or Alaska Native only,,DNC,.,.,"2,1",DSU,0.0,0.0,,DNC,.,.,,DNC,.,.,1,DSU,100.0,0.0,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
               Asian or Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,100.0,0.0,---,.,.,---,.,.
                  Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,100.0,0.0,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,42.2,10.2,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,42.1,8.9,,DNC,.,.,1,DSU,47.7,9.5,,DNC,.,.,1,30%,29.7,2.3,---,.,.,---,.,.
               Black or African American only,,DNC,.,.,"2,1",25%,24.6,2.6,,DNC,.,.,,DNC,.,.,1,33%,32.6,2.8,,DNC,.,.,1,26%,26.2,2.4,,DNC,.,.,1,DSU,71.9,26.4,---,.,.,---,.,.
               White only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,56.4,34.8,,DNC,.,.,1,DSU,35.9,23.3,,DNC,.,.,1,DSU,30.9,30.2,---,.,.,---,.,.
               2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,100.0,0.0,,DNC,.,.,1,DSU,48.2,30.6,,DNC,.,.,1,DSU,100.0,0.0,---,.,.,---,.,.
                  American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,21.5,19.1,---,.,.,---,.,.
                  Black or African American; White,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,,DNC,.,.,1,DSU,41.8,25.6,,DNC,.,.,1,DSU,55.9,21.9,,DNC,.,.,1,31%,31.3,2.4,---,.,.,---,.,.
               Hispanic or Latino,,DNC,.,.,1,24%,24.5,2.5,,DNC,.,.,,DNC,.,.,1,34%,33.7,2.7,,DNC,.,.,1,28%,27.8,2.3,,DNC,.,.,1,DSU,41.3,10.4,---,.,.,---,.,.
               Not Hispanic or Latino,,DNC,.,.,"2,1",DSU,24.1,7.2,,DNC,.,.,,DNC,.,.,1,DSU,44.7,9.0,,DNC,.,.,1,DSU,47.7,9.5,,DNC,.,.,1,30%,29.8,2.3,---,.,.,---,.,.
"                  Black or African American only, not Hisp/Latino",,DNC,.,.,"2,1",25%,24.8,2.6,,DNC,.,.,,DNC,.,.,1,32%,32.0,2.8,,DNC,.,.,1,25%,25.3,2.3,,DNC,.,.,1,31%,31.2,2.8,---,.,.,---,.,.
"                  White only, not Hispanic or Latino",,DNC,.,.,1,29%,29.4,3.3,,DNC,.,.,,DNC,.,.,1,35%,35.4,3.5,,DNC,.,.,1,31%,31.0,3.0,,DNC,.,.,1,31%,31.1,4.1,---,.,.,---,.,.
               Female,,DNC,.,.,1,17%,17.4,3.8,,DNC,.,.,,DNC,.,.,1,32%,31.9,4.1,,DNC,.,.,1,25%,25.1,3.7,,DNC,.,.,1,55%,55.3,5.6,---,.,.,---,.,.
               Male,,DNC,.,.,1,46%,45.6,5.4,,DNC,.,.,,DNC,.,.,1,52%,52.0,5.4,,DNC,.,.,1,54%,54.3,5.9,,DNC,.,.,1,32%,32.1,3.6,---,.,.,---,.,.
               Less than high school,,DNC,.,.,1,25%,24.6,4.4,,DNC,.,.,,DNC,.,.,1,36%,35.5,4.3,,DNC,.,.,1,30%,30.1,3.8,,DNC,.,.,1,15%,15.3,2.8,---,.,.,---,.,.
               High school graduate,,DNC,.,.,1,DSU,7.6,2.5,,DNC,.,.,,DNC,.,.,1,18%,17.9,3.9,,DNC,.,.,1,14%,14.0,2.9,,DNC,.,.,1,40%,40.2,4.3,---,.,.,---,.,.
               At least some college,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,44%,44.3,5.3,,DNC,.,.,1,38%,38.2,4.5,,DNC,.,.,1,26%,26.1,2.8,---,.,.,---,.,.
               Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,30%,29.8,3.0,,DNC,.,.,1,25%,25.1,2.8,,DNC,.,.,1,17%,16.8,1.9,---,.,.,---,.,.
               Persons without disabilities,,DNC,.,.,1,16%,16.1,2.0,,DNC,.,.,,DNC,.,.,1,16%,16.4,1.7,,DNC,.,.,1,14%,14.3,1.5,,DNC,.,.,1,DSU,19.6,15.5,---,.,.,---,.,.
            STATE:Texas,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,6.1,6.6,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
               American Indian or Alaska Native only,,DNC,.,.,"2,1",DSU,21.4,23.8,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,15.3,15.1,,DNC,.,.,1,DSU,0.0,0.0,---,.,.,---,.,.
               Asian or Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,32.1,26.8,---,.,.,---,.,.
                  Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,18.7,7.0,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,32.1,9.1,,DNC,.,.,1,DSU,20.5,6.2,,DNC,.,.,1,16%,15.6,1.9,---,.,.,---,.,.
               Black or African American only,,DNC,.,.,"2,1",16%,16.5,2.1,,DNC,.,.,,DNC,.,.,1,16%,15.8,1.8,,DNC,.,.,1,15%,14.5,1.7,,DNC,.,.,1,DSU,2.5,2.8,---,.,.,---,.,.
               White only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,46.0,15.6,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,3.1,3.6,---,.,.,---,.,.
               2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,41.9,20.6,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
                  American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,15.6,4.8,---,.,.,---,.,.
                  Black or African American; White,,DNC,.,.,1,DSU,15.1,5.8,,DNC,.,.,,DNC,.,.,1,DSU,9.7,4.0,,DNC,.,.,1,DSU,8.3,3.0,,DNC,.,.,1,17%,16.8,2.1,---,.,.,---,.,.
               Hispanic or Latino,,DNC,.,.,1,16%,16.2,2.1,,DNC,.,.,,DNC,.,.,1,18%,18.1,1.8,,DNC,.,.,1,15%,15.5,1.8,,DNC,.,.,1,DSU,18.3,7.1,---,.,.,---,.,.
               Not Hispanic or Latino,,DNC,.,.,"2,1",DSU,24.3,12.8,,DNC,.,.,,DNC,.,.,1,DSU,32.1,9.1,,DNC,.,.,1,DSU,19.9,6.2,,DNC,.,.,1,16%,15.8,2.0,---,.,.,---,.,.
"                  Black or African American only, not Hisp/Latino",,DNC,.,.,"2,1",16%,16.1,2.1,,DNC,.,.,,DNC,.,.,1,16%,16.3,1.8,,DNC,.,.,1,15%,15.5,1.9,,DNC,.,.,1,18%,18.0,2.6,---,.,.,---,.,.
"                  White only, not Hispanic or Latino",,DNC,.,.,1,17%,17.4,2.5,,DNC,.,.,,DNC,.,.,1,15%,15.0,2.1,,DNC,.,.,1,13%,13.2,1.8,,DNC,.,.,1,15%,15.3,2.7,---,.,.,---,.,.
               Female,,DNC,.,.,1,14%,14.2,3.2,,DNC,.,.,,DNC,.,.,1,18%,18.3,2.7,,DNC,.,.,1,15%,15.5,2.6,,DNC,.,.,1,28%,27.8,5.9,---,.,.,---,.,.
               Male,,DNC,.,.,1,25%,24.8,4.9,,DNC,.,.,,DNC,.,.,1,22%,22.3,4.6,,DNC,.,.,1,25%,25.2,4.7,,DNC,.,.,1,24%,24.1,3.8,---,.,.,---,.,.
               Less than high school,,DNC,.,.,1,16%,16.0,3.4,,DNC,.,.,,DNC,.,.,1,20%,20.4,3.1,,DNC,.,.,1,16%,15.6,2.8,,DNC,.,.,1,9%,9.3,2.0,---,.,.,---,.,.
               High school graduate,,DNC,.,.,1,12%,11.9,2.6,,DNC,.,.,,DNC,.,.,1,11%,11.3,2.0,,DNC,.,.,1,9%,9.3,1.8,,DNC,.,.,1,20%,20.0,3.6,---,.,.,---,.,.
               At least some college,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,18%,18.4,3.1,,DNC,.,.,1,15%,15.0,2.1,---,.,.,---,.,.
               Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,12%,12.1,1.8,,DNC,.,.,1,13%,12.5,1.6,---,.,.,---,.,.
               Persons without disabilities,1,18%,18.4,3.0,1,14%,14.3,2.7,,DNC,.,.,,DNC,.,.,1,12%,11.6,2.2,,DNC,.,.,1,11%,11.3,1.5,,DNC,.,.,1,DSU,0.0,0.0,---,.,.,---,.,.
            STATE:Utah,"2,1",DSU,100.0,0.0,"2,1",DSU,15.6,16.6,,DNC,.,.,,DNC,.,.,1,DSU,8.4,9.0,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
               American Indian or Alaska Native only,,DNC,.,.,"2,1",DSU,0.0,0.0,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,0.0,0.0,---,.,.,---,.,.
               Asian or Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
                  Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,13%,12.6,1.7,---,.,.,---,.,.
               Black or African American only,"2,1",18%,18.5,3.1,"2,1",14%,14.4,2.8,,DNC,.,.,,DNC,.,.,1,12%,11.7,2.2,,DNC,.,.,1,11%,11.1,1.6,,DNC,.,.,1,DSU,12.6,12.9,---,.,.,---,.,.
               White only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,58.2,23.6,,DNC,.,.,1,DSU,12.6,12.9,---,.,.,---,.,.
               2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,52.3,35.3,,DNC,.,.,1,DSU,0.0,0.0,---,.,.,---,.,.
                  American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,16.9,13.0,---,.,.,---,.,.
                  Black or African American; White,1,DSU,10.5,9.0,1,DSU,9.5,7.4,,DNC,.,.,,DNC,.,.,1,DSU,4.2,4.4,,DNC,.,.,1,DSU,6.5,4.4,,DNC,.,.,1,12%,12.5,1.6,---,.,.,---,.,.
               Hispanic or Latino,1,19%,19.0,3.1,1,15%,14.5,2.8,,DNC,.,.,,DNC,.,.,1,11%,11.5,2.2,,DNC,.,.,1,11%,11.5,1.6,,DNC,.,.,1,DSU,0.0,0.0,---,.,.,---,.,.
               Not Hispanic or Latino,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,12%,12.4,1.7,---,.,.,---,.,.
"                  Black or African American only, not Hisp/Latino","2,1",19%,18.6,3.1,"2,1",15%,14.5,2.8,,DNC,.,.,,DNC,.,.,1,12%,11.6,2.2,,DNC,.,.,1,11%,11.3,1.6,,DNC,.,.,1,13%,12.9,2.1,---,.,.,---,.,.
"                  White only, not Hispanic or Latino",1,21%,21.5,4.3,1,16%,15.5,3.6,,DNC,.,.,,DNC,.,.,1,13%,13.3,3.0,,DNC,.,.,1,13%,12.5,2.0,,DNC,.,.,1,12%,12.1,2.6,---,.,.,---,.,.
               Female,1,15%,15.3,3.8,1,DSU,12.9,4.2,,DNC,.,.,,DNC,.,.,1,DSU,9.3,3.0,,DNC,.,.,1,10%,9.9,2.4,,DNC,.,.,1,DSU,46.7,10.0,---,.,.,---,.,.
               Male,1,DSU,38.3,12.4,1,DSU,49.2,13.5,,DNC,.,.,,DNC,.,.,1,DSU,25.0,8.3,,DNC,.,.,1,DSU,32.8,8.7,,DNC,.,.,1,18%,18.4,3.3,---,.,.,---,.,.
               Less than high school,1,22%,21.6,4.8,1,16%,16.0,4.6,,DNC,.,.,,DNC,.,.,1,18%,18.2,4.7,,DNC,.,.,1,18%,18.2,3.4,,DNC,.,.,1,5%,5.3,1.3,---,.,.,---,.,.
               High school graduate,1,12%,12.0,3.4,1,DSU,8.9,2.9,,DNC,.,.,,DNC,.,.,1,DSU,5.6,2.1,,DNC,.,.,1,5%,5.4,1.5,,DNC,.,.,1,15%,15.4,3.0,---,.,.,---,.,.
               At least some college,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,13%,12.8,2.9,,DNC,.,.,1,11%,10.8,1.9,---,.,.,---,.,.
               Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,10%,10.1,1.8,,DNC,.,.,1,16%,16.1,1.3,---,.,.,---,.,.
               Persons without disabilities,,DNC,.,.,1,22%,21.6,2.5,1,23%,23.2,2.5,,DNC,.,.,1,21%,21.2,2.0,,DNC,.,.,1,19%,18.6,1.4,,DNC,.,.,1,DSU,11.4,11.3,---,.,.,---,.,.
            STATE:Vermont,,DNC,.,.,"2,1",DSU,66.7,31.4,"2,1",DSU,100.0,0.0,,DNC,.,.,1,DSU,33.3,31.4,,DNC,.,.,1,DSU,100.0,0.0,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
               American Indian or Alaska Native only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,0.0,0.0,---,.,.,---,.,.
               Asian or Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
                  Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,16%,16.3,1.4,---,.,.,---,.,.
               Black or African American only,,DNC,.,.,"2,1",21%,21.2,2.5,"2,1",23%,23.5,2.5,,DNC,.,.,1,21%,21.3,2.0,,DNC,.,.,1,18%,18.1,1.5,,DNC,.,.,1,DSU,17.0,11.0,---,.,.,---,.,.
               White only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,50.0,35.4,,DNC,.,.,1,DSU,20.7,13.7,,DNC,.,.,1,DSU,22.1,14.0,---,.,.,---,.,.
               2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,20.7,13.7,,DNC,.,.,1,DSU,0.0,0.0,---,.,.,---,.,.
                  American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,100.0,0.0,,DNC,.,.,1,DSU,18.3,10.7,---,.,.,---,.,.
                  Black or African American; White,,DNC,.,.,1,DSU,28.2,22.8,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,58.8,29.7,,DNC,.,.,1,DSU,33.2,15.6,,DNC,.,.,1,16%,15.8,1.3,---,.,.,---,.,.
               Hispanic or Latino,,DNC,.,.,1,22%,21.6,2.5,1,23%,23.5,2.5,,DNC,.,.,1,21%,21.1,2.0,,DNC,.,.,1,18%,18.1,1.4,,DNC,.,.,1,DSU,0.0,0.0,---,.,.,---,.,.
               Not Hispanic or Latino,,DNC,.,.,"2,1",DSU,66.7,31.4,"2,1",DSU,0.0,0.0,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,16%,16.0,1.4,---,.,.,---,.,.
"                  Black or African American only, not Hisp/Latino",,DNC,.,.,"2,1",21%,21.1,2.5,"2,1",24%,23.6,2.5,,DNC,.,.,1,21%,21.0,2.0,,DNC,.,.,1,18%,17.6,1.4,,DNC,.,.,1,17%,16.8,1.7,---,.,.,---,.,.
"                  White only, not Hispanic or Latino",,DNC,.,.,1,25%,24.6,3.3,1,23%,23.3,3.3,,DNC,.,.,1,22%,21.9,2.6,,DNC,.,.,1,22%,21.9,2.0,,DNC,.,.,1,15%,15.2,2.1,---,.,.,---,.,.
               Female,,DNC,.,.,1,18%,18.1,3.7,1,23%,23.0,3.6,,DNC,.,.,1,20%,20.4,3.2,,DNC,.,.,1,15%,14.7,2.0,,DNC,.,.,1,46%,45.6,5.6,---,.,.,---,.,.
               Male,,DNC,.,.,1,56%,56.4,7.1,1,38%,37.9,6.3,,DNC,.,.,1,46%,46.3,6.6,,DNC,.,.,1,46%,46.0,4.9,,DNC,.,.,1,21%,21.3,2.4,---,.,.,---,.,.
               Less than high school,,DNC,.,.,1,22%,22.4,4.4,1,38%,37.8,5.0,,DNC,.,.,1,30%,30.1,3.9,,DNC,.,.,1,24%,23.9,2.7,,DNC,.,.,1,7%,7.1,1.2,---,.,.,---,.,.
               High school graduate,,DNC,.,.,1,DSU,6.6,2.0,1,8%,7.8,2.1,,DNC,.,.,1,9%,8.9,1.8,,DNC,.,.,1,7%,6.7,1.2,,DNC,.,.,1,18%,17.8,2.2,---,.,.,---,.,.
               At least some college,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,28%,27.6,3.1,,DNC,.,.,1,15%,15.4,1.6,---,.,.,---,.,.
               Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,15%,14.7,1.6,1,13%,13.5,1.5,1,12%,12.3,1.4,---,.,.,---,.,.
               Persons without disabilities,,DNC,.,.,1,29%,29.1,3.4,1,16%,16.0,3.0,1,26%,26.0,3.2,1,19%,19.4,2.2,1,19%,19.4,2.1,1,16%,15.8,1.8,1,DSU,34.0,24.7,1,DSU,27.6,25.1,---,.,.,---,.,.
            STATE:Virginia,,DNC,.,.,"2,1",DSU,0.0,0.0,,DNC,.,.,1,DSU,0.0,0.0,1,DSU,39.0,27.7,1,DSU,69.2,21.1,1,DSU,25.0,19.5,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
               American Indian or Alaska Native only,,DNC,.,.,,DNC,.,.,"2,1",DSU,0.0,0.0,1,DSU,0.0,0.0,1,DSU,100.0,0.0,1,DSU,32.4,31.0,1,DSU,0.0,0.0,1,DSU,0.0,0.0,1,DSU,17.2,16.2,---,.,.,---,.,.
               Asian or Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
                  Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,100.0,0.0,1,DSU,0.0,0.0,1,26%,26.4,6.1,1,16%,15.6,4.0,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,42.8,10.1,1,22%,22.4,5.9,1,22%,21.9,6.0,1,DSU,24.6,7.7,1,12%,11.7,1.5,1,12%,12.3,1.6,---,.,.,---,.,.
               Black or African American only,,DNC,.,.,"2,1",28%,28.5,3.7,"2,1",15%,15.4,3.3,1,23%,23.3,3.5,1,18%,18.0,2.4,1,18%,18.1,2.3,1,15%,15.1,1.8,1,DSU,40.7,18.5,1,DSU,0.0,0.0,---,.,.,---,.,.
               White only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,1,DSU,11.4,8.2,1,DSU,32.4,12.3,1,DSU,6.2,3.8,1,DSU,46.2,26.1,1,DSU,0.0,0.0,---,.,.,---,.,.
               2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,1,DSU,21.4,13.8,1,DSU,44.3,15.9,1,DSU,4.0,4.0,1,DSU,0.0,0.0,1,DSU,0.0,0.0,---,.,.,---,.,.
                  American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,1,DSU,78.4,21.5,,DNC,.,.,1,DSU,5.3,5.3,1,DSU,7.4,5.8,---,.,.,---,.,.
                  Black or African American; White,,DNC,.,.,1,DSU,0.0,0.0,1,DSU,0.0,0.0,1,DSU,69.0,30.2,1,DSU,2.7,2.8,1,DSU,6.8,7.0,1,DSU,23.2,12.1,1,13%,12.6,1.4,1,12%,12.1,1.4,---,.,.,---,.,.
               Hispanic or Latino,,DNC,.,.,1,29%,29.2,3.4,1,16%,15.9,3.1,1,24%,24.0,3.2,1,19%,19.1,2.2,1,19%,19.4,2.2,1,15%,15.2,1.8,1,22%,22.3,5.7,1,13%,13.3,3.8,---,.,.,---,.,.
               Not Hispanic or Latino,,DNC,.,.,"2,1",34%,33.9,7.7,"2,1",DSU,27.6,10.5,1,DSU,40.6,10.2,1,24%,23.6,6.3,1,22%,21.8,5.9,1,DSU,26.5,8.3,1,12%,11.5,1.5,1,12%,12.2,1.6,---,.,.,---,.,.
"                  Black or African American only, not Hisp/Latino",,DNC,.,.,"2,1",29%,28.7,3.8,"2,1",16%,15.5,3.3,1,22%,21.6,3.4,1,18%,17.6,2.4,1,18%,18.1,2.4,1,14%,14.1,1.8,1,16%,15.8,2.0,1,14%,14.1,2.0,---,.,.,---,.,.
"                  White only, not Hispanic or Latino",,DNC,.,.,1,28%,27.8,4.3,1,15%,15.2,3.8,1,27%,26.9,4.4,1,20%,19.6,2.7,1,19%,19.0,2.5,1,17%,16.6,2.4,1,11%,10.9,2.0,1,10%,10.3,1.9,---,.,.,---,.,.
               Female,,DNC,.,.,1,31%,30.9,5.4,1,17%,16.8,4.9,1,25%,24.7,4.4,1,19%,19.1,3.5,1,20%,19.9,3.6,1,15%,14.7,2.7,1,36%,35.9,5.2,1,28%,27.8,4.9,---,.,.,---,.,.
               Male,,DNC,.,.,1,53%,52.7,5.6,1,DSU,19.2,6.0,1,46%,46.0,7.4,1,46%,46.3,5.9,1,40%,39.8,5.9,1,37%,37.1,5.7,1,18%,17.9,2.8,1,14%,13.8,2.4,---,.,.,---,.,.
               Less than high school,,DNC,.,.,1,29%,29.3,7.0,1,DSU,25.4,6.9,1,20%,20.4,4.9,1,21%,20.7,4.0,1,23%,23.1,4.4,1,20%,19.7,3.3,1,6%,5.7,1.4,1,6%,6.1,1.4,---,.,.,---,.,.
               High school graduate,,DNC,.,.,1,DSU,13.3,4.7,1,DSU,8.2,3.2,1,21%,21.4,4.8,1,8%,7.8,1.9,1,7%,7.3,2.0,1,6%,5.9,1.3,1,18%,18.4,3.0,1,16%,15.9,2.7,---,.,.,---,.,.
               At least some college,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,37%,37.3,5.8,1,27%,27.1,4.9,1,29%,29.1,4.3,1,18%,18.3,3.8,1,11%,11.3,1.6,1,11%,10.6,1.6,---,.,.,---,.,.
               Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,20%,20.3,3.7,1,16%,16.3,2.4,1,15%,15.2,2.4,1,15%,15.2,2.1,,DNC,.,.,1,13%,13.0,0.7,---,.,.,---,.,.
               Persons without disabilities,,DNC,.,.,1,22%,21.9,2.6,,DNC,.,.,1,22%,21.7,2.4,1,14%,13.8,1.7,,DNC,.,.,1,14%,14.2,0.9,,DNC,.,.,1,DSU,46.6,11.8,---,.,.,---,.,.
            STATE:Washington,,DNC,.,.,"2,1",DSU,25.4,21.9,,DNC,.,.,1,DSU,9.7,10.2,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,16.1,11.9,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
