Focus area:14-Immunization and Infectious Diseases - 03-17-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Objective                                        ,footnote,1998,raw  ,se  ,footnote,1999,raw  ,se  ,footnote,2000,raw  ,se  ,footnote,2001,raw  ,se  ,footnote,2002,raw  ,se  ,footnote,2003,raw  ,se  ,footnote,2004,raw  ,se  ,footnote,2005,raw  ,se  ,footnote,2006,raw  ,se  ,2007,raw,se,2008,raw,se
                    adjusted),1,60%,60.2,7.8,1,DSU,59.1,8.0,,DNC,.,.,1,67%,66.7,5.8,1,69%,68.7,6.0,1,70%,69.8,6.2,1,65%,64.8,6.2,1,79%,79.4,4.2,1,71%,70.6,5.2,---,.,.,---,.,.
                    Persons with diabetes,1,71%,70.8,5.6,1,76%,76.4,4.4,,DNC,.,.,1,70%,70.4,4.3,1,78%,78.3,3.3,1,80%,79.6,3.4,1,76%,76.1,3.9,1,71%,70.9,3.8,1,72%,71.8,3.2,---,.,.,---,.,.
              STATE:Wisconsin,,DNC,.,.,1,66%,65.8,2.5,,DNC,.,.,1,70%,70.5,2.2,1,74%,74.1,1.7,1,72%,71.6,1.8,1,74%,74.0,1.6,1,71%,71.5,1.6,1,72%,71.8,1.6,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNC,.,.,"2,1",DSU,43.9,34.8,,DNC,.,.,1,DSU,29.4,13.5,1,DSU,100.0,0.0,1,DSU,47.8,0.0,1,DSU,78.5,12.8,1,DSU,64.1,11.1,1,DSU,52.2,0.0,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNC,.,.,"2,1",DSU,77.5,18.1,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
                    Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,1,DSU,100.0,0.0,1,DSU,100.0,0.0,,DNC,.,.,,DNC,.,.,1,DSU,100.0,0.0,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,100.0,0.0,1,DSU,100.0,0.0,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
                 Black or African American only,,DNC,.,.,"2,1",DSU,40.4,11.4,,DNC,.,.,1,DSU,47.4,11.9,1,DSU,52.5,10.9,1,DSU,73.2,7.2,1,53%,53.3,7.8,1,61%,60.5,9.6,1,DSU,62.7,8.7,---,.,.,---,.,.
                 White only,,DNC,.,.,"2,1",66%,66.3,2.6,,DNC,.,.,1,72%,71.8,2.2,1,74%,73.5,1.8,1,72%,71.7,1.9,1,74%,74.5,1.7,1,72%,72.1,1.6,1,72%,71.5,1.6,---,.,.,---,.,.
                 2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,23.1,16.9,1,DSU,100.0,0.0,1,DSU,60.5,13.7,1,DSU,100.0,0.0,1,DSU,65.3,9.5,1,DSU,50.6,16.6,---,.,.,---,.,.
                    American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,1,DSU,100.0,0.0,1,DSU,24.5,26.1,1,DSU,100.0,0.0,1,DSU,69.0,15.8,1,DSU,80.0,14.3,---,.,.,---,.,.
                    Black or African American; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,100.0,0.0,1,DSU,100.0,0.0,---,.,.,---,.,.
                 Hispanic or Latino,,DNC,.,.,1,DSU,77.4,15.7,,DNC,.,.,1,DSU,94.8,5.2,1,DSU,82.4,15.7,1,DSU,65.1,11.7,1,DSU,78.1,11.4,1,DSU,75.6,13.8,1,DSU,33.5,14.0,---,.,.,---,.,.
                 Not Hispanic or Latino,,DNC,.,.,1,66%,65.8,2.5,,DNC,.,.,1,70%,70.0,2.2,1,74%,73.8,1.8,1,72%,71.6,1.8,1,74%,74.1,1.7,1,71%,71.2,1.6,1,72%,71.9,1.6,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNC,.,.,"2,1",DSU,40.4,11.4,,DNC,.,.,1,DSU,47.4,11.9,1,DSU,52.5,10.9,1,DSU,71.9,7.4,1,53%,53.3,7.8,1,59%,58.9,10.0,1,DSU,65.5,8.4,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNC,.,.,"2,1",66%,66.2,2.6,,DNC,.,.,1,71%,71.3,2.2,1,73%,73.4,1.8,1,72%,71.8,1.9,1,75%,74.7,1.7,1,72%,71.9,1.7,1,72%,71.7,1.6,---,.,.,---,.,.
                 Female,,DNC,.,.,1,65%,65.2,3.1,,DNC,.,.,1,67%,67.0,2.8,1,73%,72.7,2.2,1,72%,71.6,2.3,1,72%,72.4,2.0,1,70%,69.5,2.1,1,72%,71.8,2.0,---,.,.,---,.,.
                 Male,,DNC,.,.,1,68%,67.9,4.3,,DNC,.,.,1,75%,75.1,3.5,1,76%,76.0,2.8,1,72%,72.0,3.0,1,76%,76.2,2.7,1,74%,73.8,2.5,1,72%,72.0,2.6,---,.,.,---,.,.
                 Less than high school,,DNC,.,.,1,52%,51.8,5.2,,DNC,.,.,1,65%,64.9,5.2,1,64%,64.4,4.5,1,66%,66.5,4.7,1,60%,59.9,4.6,1,66%,66.1,4.2,1,57%,56.6,5.2,---,.,.,---,.,.
                 High school graduate,,DNC,.,.,1,67%,66.8,3.9,,DNC,.,.,1,71%,70.6,3.3,1,74%,73.8,2.7,1,70%,70.3,2.6,1,76%,75.5,2.5,1,72%,71.8,2.4,1,69%,69.0,2.4,---,.,.,---,.,.
                 At least some college,,DNC,.,.,1,74%,73.6,4.1,,DNC,.,.,1,73%,72.7,3.5,1,79%,78.9,2.5,1,77%,76.8,2.7,1,76%,76.4,2.5,1,74%,73.8,2.4,1,78%,78.3,2.1,---,.,.,---,.,.
                 Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,70%,69.7,3.7,1,79%,78.7,3.1,1,77%,77.1,3.1,1,80%,79.7,2.6,1,77%,77.2,2.8,1,80%,80.3,2.2,---,.,.,---,.,.
                 Persons without disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,71%,71.2,2.7,1,73%,72.9,2.1,1,69%,69.3,2.3,1,71%,71.0,2.2,1,69%,68.6,2.0,1,67%,67.4,2.1,---,.,.,---,.,.
                    Persons aged 65 to 74 years (not age adjusted),,DNC,.,.,1,58%,57.8,3.6,,DNC,.,.,1,70%,70.1,2.9,1,73%,72.8,2.4,1,64%,64.3,2.7,1,70%,69.9,2.4,1,66%,65.9,2.4,1,68%,67.7,2.3,---,.,.,---,.,.
                    Persons aged 75 to 84 years (not age adjusted),,DNC,.,.,1,77%,76.5,3.8,,DNC,.,.,1,72%,72.1,3.5,1,75%,75.3,2.7,1,78%,78.5,2.7,1,78%,78.2,2.5,1,76%,76.3,2.4,1,78%,77.8,2.4,---,.,.,---,.,.
                    Persons aged 85 years and over (not age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                    adjusted),,DNC,.,.,1,DSU,68.7,8.1,,DNC,.,.,1,DSU,64.4,8.8,1,76%,76.4,7.2,1,85%,84.7,4.5,1,79%,79.5,4.6,1,83%,82.7,4.1,1,69%,69.1,5.2,---,.,.,---,.,.
                    Persons with diabetes,,DNC,.,.,1,DSU,78.8,5.1,,DNC,.,.,1,65%,65.3,5.5,1,72%,72.2,4.7,1,83%,83.5,3.8,1,78%,77.8,3.8,1,76%,75.7,3.7,1,78%,78.0,3.7,---,.,.,---,.,.
              STATE:Wyoming,1,72%,71.6,2.4,1,75%,74.6,2.4,,DNC,.,.,1,71%,70.9,2.1,1,71%,71.4,1.9,1,73%,72.5,1.7,1,74%,73.9,1.6,1,73%,73.0,1.4,1,71%,71.1,1.4,---,.,.,---,.,.
                 American Indian or Alaska Native only,"2,1",DSU,100.0,0.0,"2,1",DSU,0.0,0.0,,DNC,.,.,1,DSU,19.4,19.2,1,DSU,11.7,11.8,1,DSU,15.4,8.3,1,DSU,65.8,19.8,1,DSU,76.1,16.9,1,DSU,55.2,18.8,---,.,.,---,.,.
                 Asian or Pacific Islander only,"2,1",DSU,0.0,0.0,"2,1",DSU,100.0,0.0,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
                    Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,23.7,25.6,1,DSU,100.0,0.0,1,DSU,100.0,0.0,1,DSU,100.0,0.0,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,100.0,0.0,1,DSU,100.0,0.0,1,DSU,100.0,0.0,---,.,.,---,.,.
                 Black or African American only,"2,1",DSU,100.0,0.0,"2,1",DSU,0.0,0.0,,DNC,.,.,1,DSU,100.0,0.0,1,DSU,100.0,0.0,1,DSU,90.1,9.8,1,DSU,100.0,0.0,1,DSU,76.1,12.3,1,DSU,63.0,13.3,---,.,.,---,.,.
                 White only,"2,1",71%,71.2,2.4,"2,1",76%,76.0,2.3,,DNC,.,.,1,71%,70.8,2.1,1,71%,71.4,1.9,1,73%,73.2,1.8,1,74%,74.4,1.6,1,74%,73.7,1.4,1,71%,71.0,1.4,---,.,.,---,.,.
                 2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,100.0,0.0,1,DSU,83.0,13.7,1,DSU,67.3,16.4,1,DSU,47.8,18.4,1,DSU,55.4,13.6,1,DSU,85.6,7.8,---,.,.,---,.,.
                    American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,100.0,0.0,1,DSU,83.0,13.7,1,DSU,92.5,5.2,1,DSU,51.2,20.9,1,DSU,59.3,15.6,1,DSU,75.2,13.3,---,.,.,---,.,.
                    Black or African American; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
                 Hispanic or Latino,1,DSU,77.1,10.5,1,DSU,70.8,9.6,,DNC,.,.,1,DSU,81.8,16.8,1,DSU,86.0,6.7,1,DSU,56.5,13.0,1,DSU,54.3,12.4,1,DSU,73.8,9.1,1,DSU,73.1,7.9,---,.,.,---,.,.
                 Not Hispanic or Latino,1,72%,71.8,2.4,1,75%,74.9,2.4,,DNC,.,.,1,71%,70.9,2.1,1,71%,71.1,1.9,1,73%,73.3,1.7,1,74%,74.4,1.6,1,73%,73.4,1.4,1,71%,71.1,1.4,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino","2,1",DSU,100.0,0.0,"2,1",DSU,0.0,0.0,,DNC,.,.,1,DSU,100.0,0.0,1,DSU,100.0,0.0,1,DSU,90.1,9.8,1,DSU,100.0,0.0,1,DSU,76.1,12.3,1,DSU,63.0,13.3,---,.,.,---,.,.
"                    White only, not Hispanic or Latino","2,1",71%,71.4,2.4,"2,1",76%,75.7,2.4,,DNC,.,.,1,71%,70.6,2.2,1,71%,71.0,2.0,1,74%,73.7,1.7,1,75%,74.8,1.6,1,74%,73.7,1.5,1,71%,70.8,1.5,---,.,.,---,.,.
                 Female,1,70%,70.1,3.0,1,78%,78.0,2.8,,DNC,.,.,1,68%,67.8,2.7,1,71%,71.1,2.3,1,71%,70.8,2.2,1,76%,75.7,2.0,1,75%,74.9,1.6,1,74%,74.1,1.6,---,.,.,---,.,.
                 Male,1,74%,74.0,3.9,1,70%,69.8,4.0,,DNC,.,.,1,75%,75.3,3.2,1,72%,72.1,3.1,1,75%,75.3,2.6,1,72%,72.0,2.7,1,71%,70.6,2.5,1,68%,67.7,2.4,---,.,.,---,.,.
                 Less than high school,1,74%,74.5,5.5,1,67%,67.5,6.5,,DNC,.,.,1,66%,66.0,5.4,1,78%,78.4,4.5,1,64%,64.1,5.1,1,62%,62.4,5.3,1,64%,63.9,5.1,1,60%,59.9,4.5,---,.,.,---,.,.
                 High school graduate,1,67%,67.5,3.8,1,70%,70.2,4.0,,DNC,.,.,1,70%,69.9,3.5,1,69%,68.7,2.9,1,75%,74.9,2.8,1,73%,73.2,2.5,1,69%,68.6,2.4,1,67%,67.5,2.4,---,.,.,---,.,.
                 At least some college,1,75%,75.1,3.6,1,80%,80.5,3.1,,DNC,.,.,1,74%,73.6,3.0,1,71%,71.3,3.0,1,74%,73.7,2.4,1,77%,77.5,2.2,1,78%,77.7,1.8,1,75%,75.4,1.9,---,.,.,---,.,.
                 Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,70%,70.4,3.6,,DNC,.,.,1,76%,75.7,2.7,1,76%,75.9,2.8,1,73%,73.3,2.5,1,77%,77.0,2.0,---,.,.,---,.,.
                 Persons without disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,71%,71.0,2.6,,DNC,.,.,1,71%,70.6,2.2,1,74%,73.5,2.0,1,73%,72.9,1.8,1,68%,67.7,1.9,---,.,.,---,.,.
                    Persons aged 65 to 74 years (not age adjusted),1,70%,70.4,3.1,1,70%,70.1,3.2,,DNC,.,.,1,65%,65.0,2.9,1,66%,66.1,2.7,1,68%,67.8,2.3,1,69%,69.0,2.2,1,69%,69.5,2.0,1,65%,64.6,2.0,---,.,.,---,.,.
                    Persons aged 75 to 84 years (not age adjusted),1,73%,72.8,4.0,1,81%,80.9,3.8,,DNC,.,.,1,78%,77.8,3.4,1,77%,76.7,2.8,1,78%,78.3,2.7,1,78%,78.3,2.6,1,76%,75.8,2.3,1,77%,77.0,2.3,---,.,.,---,.,.
                    Persons aged 85 years and over (not age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                    adjusted),1,DSU,73.4,8.2,1,DSU,73.2,8.6,,DNC,.,.,1,DSU,75.8,7.4,1,DSU,81.1,6.5,1,75%,74.8,6.5,1,84%,84.5,4.8,1,83%,82.5,4.2,1,84%,84.1,3.5,---,.,.,---,.,.
                    Persons with diabetes,1,DSU,78.4,6.4,1,DSU,60.4,8.3,,DNC,.,.,1,68%,67.7,6.4,1,77%,77.4,4.6,1,81%,80.5,3.8,1,83%,82.6,3.8,1,82%,82.0,3.1,1,77%,76.8,3.5,---,.,.,---,.,.
                                                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-29b Influenza and pneumococcal vaccination of        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              high-risk adults - Noninstitutionalized adults -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"              Pneumococcal vaccine ever received (age adjusted,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              aged 65 years and over),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              STATE:Alabama,,DNC,.,.,1,54%,53.8,2.6,,DNC,.,.,1,62%,61.7,2.3,1,59%,59.5,2.1,1,61%,61.4,2.0,1,60%,60.3,1.9,1,62%,62.0,1.9,1,60%,60.2,1.9,---,.,.,---,.,.
              Race and ethnicity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                 American Indian or Alaska Native only,,DNC,.,.,"2,1",DSU,100.0,0.0,,DNC,.,.,1,DSU,61.1,8.8,1,DSU,47.8,0.0,1,DSU,52.3,0.0,1,DSU,42.3,9.9,1,DSU,46.7,5.6,1,DSU,28.6,22.2,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNC,.,.,"2,1",DSU,100.0,0.0,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
                    Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,1,DSU,100.0,0.0,1,DSU,0.0,0.0,1,DSU,100.0,0.0,1,DSU,100.0,0.0,,DNC,.,.,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,100.0,0.0,---,.,.,---,.,.
                 Black or African American only,,DNC,.,.,"2,1",33%,33.1,5.7,,DNC,.,.,1,38%,38.4,5.9,1,38%,37.9,4.8,1,39%,38.8,4.7,1,38%,38.5,4.4,1,49%,48.8,5.2,1,38%,38.4,4.7,---,.,.,---,.,.
                 White only,,DNC,.,.,"2,1",58%,58.3,2.9,,DNC,.,.,1,67%,67.1,2.4,1,65%,64.7,2.3,1,66%,66.2,2.1,1,65%,65.0,2.0,1,65%,64.6,2.1,1,65%,64.9,2.0,---,.,.,---,.,.
                 2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,55.0,21.2,1,DSU,19.6,16.3,1,DSU,53.8,12.0,1,DSU,67.2,16.2,1,DSU,47.9,19.3,1,DSU,35.0,9.4,---,.,.,---,.,.
                    American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,41.0,34.2,1,DSU,78.4,13.7,1,DSU,87.8,8.4,1,DSU,39.3,22.6,1,DSU,24.8,16.0,---,.,.,---,.,.
                    Black or African American; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,54.7,35.1,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,100.0,0.0,1,DSU,100.0,0.0,---,.,.,---,.,.
                 Hispanic or Latino,,DNC,.,.,1,DSU,30.3,15.7,,DNC,.,.,1,DSU,25.3,13.8,1,DSU,82.8,10.4,1,DSU,84.9,7.6,1,DSU,57.3,10.3,1,DSU,65.5,10.6,1,DSU,69.4,12.6,---,.,.,---,.,.
                 Not Hispanic or Latino,,DNC,.,.,1,54%,54.0,2.7,,DNC,.,.,1,63%,62.6,2.3,1,59%,59.4,2.1,1,61%,61.1,2.0,1,60%,60.4,1.9,1,62%,62.2,1.9,1,60%,60.1,1.9,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNC,.,.,"2,1",33%,33.1,5.7,,DNC,.,.,1,38%,38.1,6.3,1,37%,37.3,4.8,1,39%,38.7,4.8,1,38%,38.2,4.5,1,48%,48.4,5.3,1,38%,37.6,4.7,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNC,.,.,"2,1",58%,58.5,2.9,,DNC,.,.,1,68%,67.8,2.4,1,65%,64.6,2.3,1,66%,65.9,2.2,1,65%,65.0,2.0,1,65%,65.0,2.1,1,65%,64.9,2.0,---,.,.,---,.,.
              Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                 Female,,DNC,.,.,1,55%,54.9,3.3,,DNC,.,.,1,62%,61.6,2.8,1,60%,60.0,2.5,1,60%,60.5,2.5,1,61%,61.2,2.3,1,63%,62.8,2.2,1,61%,60.8,2.3,---,.,.,---,.,.
                 Male,,DNC,.,.,1,51%,51.0,4.4,,DNC,.,.,1,62%,62.1,3.8,1,59%,58.7,3.8,1,64%,63.6,3.3,1,60%,59.8,3.2,1,60%,60.0,3.5,1,60%,59.8,3.0,---,.,.,---,.,.
              Education level (persons aged 25 years and over),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                 Less than high school,,DNC,.,.,1,44%,43.5,4.1,,DNC,.,.,1,56%,55.9,4.0,1,52%,52.2,3.7,1,57%,56.5,3.9,1,61%,60.7,3.5,1,57%,56.7,3.9,1,51%,51.3,3.7,---,.,.,---,.,.
                 High school graduate,,DNC,.,.,1,64%,64.1,4.3,,DNC,.,.,1,68%,67.7,3.6,1,63%,63.0,3.5,1,62%,61.6,3.3,1,58%,58.2,3.1,1,63%,63.2,3.3,1,60%,59.7,3.2,---,.,.,---,.,.
                 At least some college,,DNC,.,.,1,60%,59.8,5.0,,DNC,.,.,1,62%,61.6,4.2,1,64%,64.4,3.5,1,66%,65.7,3.1,1,64%,63.7,3.1,1,65%,64.6,3.0,1,66%,66.4,2.8,---,.,.,---,.,.
              Disability status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                 Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,65%,65.1,3.7,1,68%,67.8,3.4,1,65%,64.6,3.1,1,69%,69.3,3.0,1,64%,64.2,3.0,1,65%,64.9,2.9,---,.,.,---,.,.
                 Persons without disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,60%,59.6,2.9,1,56%,55.9,2.7,1,60%,59.8,2.6,1,55%,55.0,2.4,1,61%,61.0,2.6,1,58%,57.6,2.5,---,.,.,---,.,.
              Select populations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                 Age Groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                    Persons aged 65 to 74 years (not age adjusted),,DNC,.,.,1,54%,54.0,3.3,,DNC,.,.,1,56%,55.9,3.0,1,56%,55.7,2.7,1,58%,58.1,2.6,1,52%,52.5,2.5,1,57%,56.6,2.6,1,52%,51.5,2.5,---,.,.,---,.,.
                    Persons aged 75 to 84 years (not age adjusted),,DNC,.,.,1,57%,57.3,4.6,,DNC,.,.,1,68%,67.5,3.7,1,64%,63.6,3.5,1,63%,63.3,3.3,1,71%,71.4,2.9,1,68%,68.3,3.2,1,71%,70.7,3.1,---,.,.,---,.,.
                    Persons aged 85 years and over (not age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                    adjusted),,DNC,.,.,1,DSU,28.0,9.7,,DNC,.,.,1,DSU,71.0,9.0,1,DSU,63.8,7.8,1,75%,75.1,6.2,1,55%,55.4,7.5,1,66%,66.0,6.1,1,65%,64.7,7.2,---,.,.,---,.,.
                 Persons with high-risk conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                    Persons with diabetes,,DNC,.,.,1,55%,55.2,6.4,,DNC,.,.,1,68%,68.0,4.9,1,63%,63.3,4.8,1,69%,68.8,4.7,1,70%,69.6,4.2,1,76%,76.2,3.7,1,72%,72.4,3.3,---,.,.,---,.,.
              STATE:Alaska,,DNC,.,.,1,47%,46.5,5.3,,DNC,.,.,1,65%,65.1,4.4,1,61%,61.3,4.5,1,65%,64.8,3.9,1,59%,58.7,4.2,1,64%,64.3,3.7,1,63%,63.2,3.8,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNC,.,.,"2,1",DSU,53.5,10.4,,DNC,.,.,1,DSU,66.9,13.0,1,DSU,81.7,11.3,1,DSU,50.3,14.2,1,DSU,56.3,9.7,1,DSU,64.6,9.2,1,DSU,58.1,10.7,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNC,.,.,"2,1",DSU,0.0,0.0,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
                    Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,74.3,16.8,1,DSU,19.0,16.9,1,DSU,37.7,11.2,1,DSU,30.7,21.4,1,DSU,100.0,0.0,1,DSU,100.0,0.0,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,57.2,34.6,1,DSU,100.0,0.0,---,.,.,---,.,.
                 Black or African American only,,DNC,.,.,"2,1",DSU,0.0,0.0,,DNC,.,.,1,DSU,8.4,8.9,1,DSU,63.3,13.0,1,DSU,100.0,0.0,1,DSU,16.9,13.3,1,DSU,85.4,14.1,1,DSU,72.3,18.6,---,.,.,---,.,.
                 White only,,DNC,.,.,"2,1",47%,47.4,6.3,,DNC,.,.,1,67%,67.2,5.0,1,56%,56.3,5.0,1,65%,65.3,4.3,1,61%,60.7,4.7,1,64%,64.3,4.2,1,66%,65.7,4.2,---,.,.,---,.,.
                 2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,50.9,12.8,1,DSU,67.9,10.9,1,DSU,100.0,0.0,1,DSU,20.0,12.8,1,DSU,30.8,9.9,1,DSU,56.5,20.0,---,.,.,---,.,.
                    American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,59.7,8.9,1,DSU,78.2,11.9,1,DSU,100.0,0.0,1,DSU,87.0,12.8,1,DSU,33.4,11.1,1,DSU,77.3,13.5,---,.,.,---,.,.
                    Black or African American; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
                 Hispanic or Latino,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,78.6,23.8,1,DSU,68.3,26.5,1,DSU,38.9,20.7,1,DSU,40.5,7.6,1,DSU,45.5,7.3,1,DSU,100.0,0.0,---,.,.,---,.,.
                 Not Hispanic or Latino,,DNC,.,.,1,48%,47.5,5.4,,DNC,.,.,1,65%,65.0,4.5,1,61%,61.2,4.5,1,65%,65.5,3.8,1,60%,59.6,4.3,1,65%,64.7,3.8,1,63%,62.8,3.9,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNC,.,.,"2,1",DSU,0.0,0.0,,DNC,.,.,1,DSU,8.4,8.9,1,DSU,67.7,15.9,1,DSU,100.0,0.0,1,DSU,16.9,13.3,1,DSU,85.4,14.1,1,DSU,72.3,18.6,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNC,.,.,"2,1",47%,47.4,6.3,,DNC,.,.,1,67%,66.9,5.1,1,56%,56.1,5.0,1,66%,66.1,4.2,1,61%,60.6,4.8,1,64%,64.3,4.2,1,65%,65.5,4.2,---,.,.,---,.,.
                 Female,,DNC,.,.,1,57%,56.6,7.0,,DNC,.,.,1,63%,63.0,5.8,1,71%,71.3,5.0,1,71%,70.9,4.7,1,63%,63.2,5.5,1,66%,66.2,4.8,1,62%,61.8,5.2,---,.,.,---,.,.
                 Male,,DNC,.,.,1,35%,35.4,7.5,,DNC,.,.,1,68%,68.3,6.5,1,48%,47.9,7.0,1,59%,59.4,5.9,1,54%,53.7,6.5,1,60%,59.8,6.1,1,65%,65.0,5.6,---,.,.,---,.,.
                 Less than high school,,DNC,.,.,1,DSU,42.8,9.2,,DNC,.,.,1,DSU,71.5,8.0,1,67%,66.9,7.8,1,DSU,67.6,9.3,1,DSU,57.3,9.5,1,53%,53.1,9.3,1,DSU,42.2,9.0,---,.,.,---,.,.
                 High school graduate,,DNC,.,.,1,DSU,65.2,7.3,,DNC,.,.,1,55%,55.1,8.8,1,57%,57.3,8.0,1,60%,60.2,7.4,1,61%,60.7,6.0,1,75%,75.0,5.7,1,63%,62.6,7.1,---,.,.,---,.,.
                 At least some college,,DNC,.,.,1,38%,38.1,8.7,,DNC,.,.,1,67%,66.6,6.0,1,61%,61.2,6.9,1,68%,67.7,4.6,1,55%,55.3,6.5,1,62%,61.9,5.4,1,69%,68.8,4.8,---,.,.,---,.,.
                 Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,65%,65.3,7.5,,DNC,.,.,1,69%,68.9,5.8,1,57%,57.0,7.0,1,76%,76.5,5.2,1,73%,73.1,4.9,---,.,.,---,.,.
